"vOTU_id","checkv_quality","final_strategy","MQ_or_better","BS","SA","IA","DA"
"vOTU0519","Low-quality","temperate",0,0,12866.1166234071,0,0
"vOTU0077","Low-quality","temperate",0,0,28461.1003818813,194.815614985499,0
"vOTU0576","Low-quality","virulent",0,0,20501.45157632,816.227066415604,0
"vOTU0114","Low-quality","virulent",0,0,16307.0609326606,121.484686264169,0
"vOTU0597","Low-quality","virulent",0,0,18283.3348264745,538.416342890837,0
"vOTU0617","Low-quality","virulent",0,0,15821.3846699076,149.917732662396,0
"vOTU0163","Low-quality","virulent",0,0,22854.095045668,128.307518955895,32.4667869332222
"vOTU0088","Low-quality","virulent",0,0,25460.8132997122,103.88430065141,0
"vOTU0002","Low-quality","virulent",0,0,11097.6236315496,24755.5222568397,0
"vOTU0680","Not-determined","virulent",0,0,27242.4147441604,158.640940951281,0
"vOTU0342","Low-quality","temperate",0,0,19192.1996098289,712.435242673657,0
"vOTU0095","Low-quality","virulent",0,0,25110.0674047826,164.890487808587,25.4978418020953
"vOTU0758","Low-quality","virulent",0,0,13095.5837710292,55.9689582279488,0
"vOTU0772","Low-quality","virulent",0,0,11313.2570376458,0,0
"vOTU0825","Low-quality","virulent",0,0,10988.6436971139,57.9740446845552,0
"vOTU0847","Low-quality","virulent",0,0,53988.874571363,176.995671185611,0
"vOTU0849","Low-quality","virulent",0,0,12569.6674983197,0,0
"vOTU0872","Low-quality","virulent",0,0,12870.2894311135,752.315185554383,0
"vOTU0005","Low-quality","virulent",0,0,13302.1888741832,34393.7059512341,28.6709971022792
"vOTU0113","Low-quality","virulent",0,0,24087.3950956776,121.445878771053,65.729230029777
"vOTU0115","Low-quality","virulent",0,0,12992.0683189262,61.0188536617652,0
"vOTU0121","Low-quality","virulent",0,0,19918.6345228336,186.965197826615,9.63711574880976
"vOTU0124","Low-quality","temperate",0,0,18804.2392567887,1104.81331679197,0
"vOTU0155","Low-quality","virulent",0,0,16791.2802273323,1070.31045609485,0
"vOTU0167","Low-quality","virulent",0,0,19245.7900483615,682.402874600943,0
"vOTU0173","Low-quality","virulent",0,0,19650.6823301705,24.2526489664475,0
"vOTU0001","Low-quality","virulent",0,786.315552391217,10266.9824846456,99.0788067294423,0
"vOTU0184","Low-quality","virulent",0,0,15900.6765366104,100.666902387782,0
"vOTU0202","Low-quality","virulent",0,0.825521248255203,22537.3855439699,226.34506269905,0
"vOTU0004","Low-quality","virulent",0,0,14281.8465437664,27078.620000749,0
"vOTU0255","Low-quality","temperate",0,0,14344.9937556811,121.0018247452,0
"vOTU0019","Medium-quality","temperate",1,0,63936.9589070832,401.930981305094,0
"vOTU0023","Medium-quality","virulent",1,0,31867.0785222198,210.025663057523,0
"vOTU0362","Low-quality","virulent",0,0,17574.3387989687,5702.62236941785,0
"vOTU0053","Medium-quality","virulent",1,0,20607.3054195919,87.9513987490215,0
"vOTU0462","Low-quality","virulent",0,0,17443.4012479119,333.869677594269,0
"vOTU0478","Low-quality","virulent",0,0,18530.2291442088,63.5453683689317,0
"vOTU0774","Low-quality","virulent",0,0,2596.78850535356,158899.720822961,0
"vOTU0961","Low-quality","virulent",0,0,87.9630633601145,11624.0888028,0
"vOTU0086","Low-quality","virulent",0,0,142.1280883546,33350.1475690607,110.791905408706
"vOTU0021","Medium-quality","temperate",1,0,78.3075612198697,19920.8737465899,0
"vOTU0064","Low-quality","virulent",0,0,118.789276642846,20623.7198862341,0
"vOTU0120","Medium-quality","virulent",1,0,28.7976301876672,16912.3299840296,9.62073306251397
"vOTU0133","Low-quality","virulent",0,0,150.102730724962,63982.1832262475,0
"vOTU0135","Low-quality","virulent",0,0,30.0471528530377,10343.1701631805,0
"vOTU0154","Low-quality","virulent",0,0,126.406273820596,61468.9410081829,10.5574747784744
"vOTU0166","Low-quality","virulent",0,0,326.680978465771,43405.279214332,65.4826552785086
"vOTU0180","Low-quality","virulent",0,3.05698626727628,239.625239848188,14396.9223404947,11.4363058201038
"vOTU0189","Low-quality","virulent",0,1.59029332075512,730.133993077704,17659.3721861542,0
"vOTU0200","Low-quality","virulent",0,0,109.650889537862,45852.3507799658,232.004127343486
"vOTU0205","Low-quality","virulent",0,0,260.522102763437,39935.1425609966,285.973381807558
"vOTU0215","Low-quality","virulent",0,0,0,15640.0634566371,0
"vOTU0273","Low-quality","virulent",0,0,43.7065928568291,12495.672044477,0
"vOTU0012","Complete","virulent",1,0,90.3534005533893,25348.9647276688,0
"vOTU0316","Not-determined","virulent",0,0,283.6610989711,41825.9795130283,15.7942827587069
"vOTU0405","Low-quality","virulent",0,0,107.030677288504,9846.71928846022,0
"vOTU0423","Medium-quality","virulent",1,0,244.563326429481,11761.031713299,0
"vOTU0443","Low-quality","virulent",0,0,1226.3624110613,17261.830022187,0
"vOTU0459","Low-quality","virulent",0,0,57.6858267041046,13085.85199262,0
"vOTU0500","Low-quality","virulent",0,70.1860066362769,332.515091896755,14520.0051405451,80.790372241635
"vOTU0558","Not-determined","virulent",0,0,456.06773184487,39130.8970530365,0
"vOTU0038","Medium-quality","virulent",1,0,61.8930520863219,29047.7391340829,0
"vOTU0609","Not-determined","virulent",0,0,68.8280880887402,9516.77316676035,0
"vOTU0632","Not-determined","virulent",0,0,3448.56527475216,10542.1277333276,0
"vOTU0697","Low-quality","temperate",0,149.991676987476,223.948007685442,16127.6018702281,0
"vOTU0700","Low-quality","virulent",0,0,0,9881.45893199519,0
"vOTU0708","Not-determined","virulent",0,0,8364.51978666742,22095.8990724976,0
"vOTU0725","Low-quality","virulent",0,0,265.869260824457,33615.8544354372,25.3776346742823
"vOTU0007","Medium-quality","virulent",1,2288.81967974562,309.482386196775,0,0
"vOTU0022","Low-quality","virulent",0,813.977500317438,128.414278306548,0,0
"vOTU0112","Low-quality","virulent",0,682.54674389813,139.474042068688,0,0
"vOTU0909","Low-quality","virulent",0,366.510335861314,0,0,0
"vOTU0910","Low-quality","virulent",0,1042.6689440203,0,0,0
"vOTU0911","Low-quality","virulent",0,1920.69006733735,85.6037186896208,0,0
"vOTU0912","Low-quality","virulent",0,496.991610773627,342.481477796443,0,0
"vOTU0913","Low-quality","virulent",0,661.509810736993,171.273989295515,0,0
"vOTU0914","Low-quality","virulent",0,625.583198416464,0,0,0
"vOTU0915","Low-quality","virulent",0,3530.35938774549,1590.78101420258,0,459.631544349946
"vOTU0916","Low-quality","virulent",0,509.022994427548,86.0385597597668,0,0
"vOTU0917","Low-quality","virulent",0,4676.14776623785,1033.06803197314,61.996902465523,57.5212947311775
"vOTU0918","Low-quality","virulent",0,980.778755816368,172.27899906174,0,0
"vOTU0919","Low-quality","virulent",0,3068.53852397194,129.25985657139,62.0575376432523,0
"vOTU0920","Low-quality","virulent",0,485.284422779412,258.772663250362,0,0
"vOTU0921","Low-quality","virulent",0,296.795254220068,0,0,0
"vOTU0922","Low-quality","virulent",0,495.398315898645,0,0,0
"vOTU0923","Low-quality","virulent",0,3559.08351627615,431.795431737161,0,86.5526713818591
"vOTU0924","Low-quality","virulent",0,917.907016477118,172.752013121629,0,0
"vOTU0925","Low-quality","virulent",0,640.472182494226,172.819747226915,0,0
"vOTU0116","Low-quality","virulent",0,764.448907478485,269.281505631601,10.206468626311,47.3482696445788
"vOTU0926","Low-quality","virulent",0,1250.81442187634,345.843090832694,0,0
"vOTU0927","Low-quality","virulent",0,540.581426163262,172.955607370422,62.2768999565989,0
"vOTU0928","Low-quality","virulent",0,514.259044348629,173.193608644678,0,0
"vOTU0929","Low-quality","virulent",0,475.68668769151,86.6137852427245,0,0
"vOTU0930","Low-quality","virulent",0,799.870602915429,0,0,0
"vOTU0931","Low-quality","virulent",0,809.713773723825,260.302066502043,0,0
"vOTU0932","Low-quality","virulent",0,873.810198959006,347.138088368776,0,0
"vOTU0117","Low-quality","virulent",0,807.94893749615,85.0855940010406,20.4247651725796,0
"vOTU0933","Low-quality","virulent",0,1939.81545411015,173.60323181261,0,0
"vOTU0934","Low-quality","virulent",0,571.899119971569,86.8358514611092,0,0
"vOTU0935","Low-quality","virulent",0,1397.18933747386,87.0417184949063,31.3415333440212,0
"vOTU0937","Low-quality","virulent",0,1201.39625114328,478.918976856484,0,0
"vOTU0938","Low-quality","virulent",0,404.353551888244,0,0,0
"vOTU0939","Low-quality","virulent",0,1353.56445641439,261.331795734033,0,0
"vOTU0940","Low-quality","virulent",0,1140.76708482671,435.984193670067,0,0
"vOTU0941","Low-quality","virulent",0,753.522943300068,0,0,0
"vOTU0942","Low-quality","virulent",0,613.45404793599,0,0,0
"vOTU0943","Not-determined","virulent",0,1077.16601311061,174.497403371075,0,0
"vOTU0944","Low-quality","virulent",0,462.008703592062,43.6589367941362,0,1341.87472719695
"vOTU0946","Low-quality","virulent",0,419.454248243263,0,0,0
"vOTU0947","Low-quality","virulent",0,4507.58927247252,1835.49371394152,0,1445.4069513784
"vOTU0948","Not-determined","virulent",0,841.36028907993,131.15874607645,0,29.2117352055853
"vOTU0118","Low-quality","virulent",0,777.080554041005,358.097321333309,0,0
"vOTU0949","Low-quality","virulent",0,1006.13693956811,525.051890184068,0,116.939797918999
"vOTU0950","Low-quality","virulent",0,565.170538043569,0,0,0
"vOTU0951","Low-quality","virulent",0,496.723884504299,0,0,0
"vOTU0952","Low-quality","virulent",0,819.562409311935,87.6131141114749,0,0
"vOTU0953","Low-quality","virulent",0,819.888402596547,0,0,0
"vOTU0954","Low-quality","virulent",0,1166.36926619902,87.8052464520148,0,0
"vOTU0119","Low-quality","virulent",0,914.662950666828,287.506408369764,0,19.2100666165694
"vOTU0955","Low-quality","virulent",0,791.95539680284,87.8052464520148,0,0
"vOTU0956","Low-quality","virulent",0,570.443115702739,87.8052464520148,0,0
"vOTU0957","Not-determined","virulent",0,325.472213073189,0,0,0
"vOTU0958","Low-quality","virulent",0,2241.94625079776,219.644541467191,0,0
"vOTU0959","Low-quality","virulent",0,1612.64019516939,527.252210196606,0,0
"vOTU0960","Low-quality","virulent",0,543.866597663067,87.945532881593,0,264.427920541632
"vOTU0962","Low-quality","virulent",0,536.655509241976,0,0,0
"vOTU0122","Low-quality","virulent",0,1584.35121170764,853.100437680846,0,236.698460290646
"vOTU0123","Low-quality","virulent",0,1560.70824973617,437.833350293897,0,0
"vOTU0125","Low-quality","virulent",0,835.692521561435,87.8695021525106,0,0
"vOTU0024","High-quality","virulent",1,1223.58320884592,688.633833535157,15.1425703701669,7.02471014928805
"vOTU0127","Low-quality","virulent",0,941.92620935724,470.420571501473,0,0
"vOTU0128","Low-quality","virulent",0,1805.56690866659,779.341939784153,0,29.4750620713589
"vOTU0129","Low-quality","virulent",0,734.388256814417,88.2686964962826,21.1888708376341,0
"vOTU0130","Low-quality","virulent",0,820.659727491196,368.179668259815,0,0
"vOTU0131","Low-quality","virulent",0,1074.0262335132,177.629117920469,0,0
"vOTU0132","Low-quality","virulent",0,1381.81533022814,765.05425897785,21.6060024201819,110.254444673967
"vOTU0134","Low-quality","virulent",0,1510.0044416387,300.205312345004,0,0
"vOTU0136","Low-quality","virulent",0,759.579980499866,0,0,0
"vOTU0137","Low-quality","virulent",0,733.619017164659,30.1747951853493,0,0
"vOTU0025","Medium-quality","virulent",1,3442.30596745193,366.72958030561,0,0
"vOTU0138","Low-quality","virulent",0,1154.06435593941,558.271870073249,0,0
"vOTU0139","Low-quality","virulent",0,1425.2090367247,394.624490962722,0,60.8475416859037
"vOTU0140","Low-quality","virulent",0,541.14262069057,440.431098821932,0,0
"vOTU0141","Low-quality","virulent",0,1596.30685543219,152.261331180716,0,0
"vOTU0142","Low-quality","virulent",0,1509.48840344903,518.692927432585,21.9727169073098,30.5797305098797
"vOTU0143","Low-quality","virulent",0,768.720543621685,122.426997910916,0,0
"vOTU0144","Low-quality","virulent",0,1395.86077282669,92.2175592623014,0,154.040542171058
"vOTU0145","Low-quality","virulent",0,552.720523501548,153.964633371219,0,0
"vOTU0026","Complete","virulent",1,1005.12231213452,86.3929395546184,241.086274631058,0
"vOTU0147","Low-quality","virulent",0,1187.27952672512,249.235938089864,0,0
"vOTU0148","Low-quality","virulent",0,1671.16357573445,155.882804272582,0,239.555993157978
"vOTU0149","Low-quality","virulent",0,1009.38877111799,94.0623109007628,0,52.3739833482418
"vOTU0150","High-quality","virulent",1,2912.58569509715,692.600727346216,0,105.174737519741
"vOTU0151","Low-quality","virulent",0,934.512324878425,63.0403356377098,22.699216846517,0
"vOTU0152","Low-quality","virulent",0,674.847732140897,220.641137455754,0,0
"vOTU0153","Low-quality","virulent",0,680.623381122082,0,0,0
"vOTU0156","Low-quality","virulent",0,983.34971895687,126.843181058927,22.8365060047333,0
"vOTU0157","Low-quality","virulent",0,979.24279319172,285.43830182039,0,0
"vOTU0027","Low-quality","virulent",0,790.426696582812,131.048208208601,7.86451945910294,0
"vOTU0158","Low-quality","virulent",0,901.953838455028,127.145233546931,22.8908895442446,5.30959831091661
"vOTU0159","Low-quality","virulent",0,11042.0044613466,1717.45303559309,0,127.503920641861
"vOTU0160","Low-quality","virulent",0,853.851792804781,95.4554152144567,0,0
"vOTU0161","Low-quality","virulent",0,2114.84985564671,225.928429891154,0,0
"vOTU0162","Low-quality","virulent",0,992.359319112207,161.401113481743,0,0
"vOTU0164","Low-quality","virulent",0,1015.18925129121,162.05429953747,0,54.139210333735
"vOTU0165","Low-quality","virulent",0,754.411736990238,162.772985254744,0,0
"vOTU0168","Low-quality","virulent",0,1112.47131832698,424.779683111153,23.5311254455215,0
"vOTU0028","High-quality","virulent",1,1187.7812318522,831.642556851501,0,0
"vOTU0170","Low-quality","virulent",0,871.902247820486,217.339975814454,0,145.218110342588
"vOTU0171","Low-quality","virulent",0,817.591277650053,0,0,0
"vOTU0172","Low-quality","virulent",0,1019.56850524545,403.84905858174,0,0
"vOTU0174","Low-quality","virulent",0,1257.46318925852,709.120636618063,24.3177300709643,0
"vOTU0175","Low-quality","virulent",0,753.120634846115,337.676401324603,0,0
"vOTU0176","Low-quality","virulent",0,583.108701423482,135.329911498656,0,0
"vOTU0177","Low-quality","virulent",0,681.69783351254,389.732102909521,0,0
"vOTU0178","Low-quality","virulent",0,1191.32418276352,663.19759911657,0,0
"vOTU0029","Medium-quality","virulent",1,1773.46712818253,4676.00273229096,31.544899298481,0
"vOTU0179","Low-quality","virulent",0,1305.03529508649,615.318475462476,24.6178270685955,274.08788252191
"vOTU0181","Low-quality","virulent",0,616.944340421732,137.312992032095,0,68.8103683581434
"vOTU0182","Low-quality","virulent",0,654.744605197576,86.7673824815714,0,0
"vOTU0183","Low-quality","virulent",0,1283.58699344187,0,0,0
"vOTU0185","Low-quality","virulent",0,701.279026056499,140.387757022102,12.6375111874277,0
"vOTU0031","Medium-quality","virulent",1,9128.52622544868,18.0534192990556,0,0
"vOTU0186","Low-quality","virulent",0,929.076546846126,387.610425092247,0,0
"vOTU0187","Low-quality","virulent",0,777.102868558171,141.209112127559,0,0
"vOTU0188","Low-quality","virulent",0,4187.27863971264,88.5538553967825,0,0
"vOTU0190","Low-quality","virulent",0,650.101651653801,107.056715267781,0,0
"vOTU0191","Low-quality","virulent",0,1025.76012462987,142.800082931024,0,0
"vOTU0192","Low-quality","virulent",0,681.377376912637,322.39779051672,0,71.8045884033777
"vOTU0193","Low-quality","virulent",0,532.479195155456,35.9741181782181,0,0
"vOTU0194","Not-determined","virulent",0,905.355759700393,71.9659031594565,12.9565495878764,0
"vOTU0195","Low-quality","virulent",0,990.19068839399,252.004109282,0,0
"vOTU0196","Low-quality","temperate",0,3445.09420352274,396.136095347024,0,0
"vOTU0032","High-quality","virulent",1,887.704497255471,48.1819514876845,21.686365760421,0
"vOTU0197","Low-quality","virulent",0,698.548361919351,0,25.9597359071747,0
"vOTU0198","Low-quality","virulent",0,692.884860763966,72.7684625246365,0,0
"vOTU0199","Low-quality","virulent",0,535.993096448296,0,0,0
"vOTU0201","Medium-quality","virulent",1,1907.98996721841,258.642400931588,0,49.37566092429
"vOTU0203","Low-quality","virulent",0,2312.426185884,148.606026182368,0,0
"vOTU0204","Low-quality","virulent",0,1097.14651806702,0,0,0
"vOTU0206","Low-quality","virulent",0,596.304610459816,0,0,0
"vOTU0208","Low-quality","virulent",0,1125.8413812642,74.5987680263624,0,12.4610112519059
"vOTU0033","Medium-quality","virulent",1,1519.98519067323,204.99750502183,0,0
"vOTU0209","Low-quality","virulent",0,663.983007050943,748.20529644695,0,0
"vOTU0210","Low-quality","virulent",0,1187.2200373249,224.538047807297,0,0
"vOTU0211","Low-quality","virulent",0,1503.44347025693,375.794563058185,27.0628052331812,12.554564883851
"vOTU0212","Low-quality","virulent",0,1510.14992941442,602.607962604133,27.1229813317332,88.0773858662428
"vOTU0213","Low-quality","virulent",0,1397.32260140022,113.522927058579,0,75.8516057909261
"vOTU0214","Low-quality","virulent",0,691.295472727114,37.8539861555501,0,0
"vOTU0216","Low-quality","virulent",0,949.700385803874,0,27.3522169079182,0
"vOTU0217","Low-quality","virulent",0,645.10902411332,19.1109565987365,0,0
"vOTU0010","Medium-quality","virulent",1,1133.87911349038,101.954131877945,0,0
"vOTU0034","Low-quality","virulent",0,831.41021951046,181.014076527144,0,0
"vOTU0218","Low-quality","virulent",0,608.337695865315,115.135390271313,0,0
"vOTU0355","Low-quality","virulent",0,691.736681784032,251.905350702878,0,0
"vOTU0219","Low-quality","virulent",0,672.055852883619,76.8909281497057,0,0
"vOTU0221","Low-quality","virulent",0,1273.69521485602,810.609965857103,0,309.495932665611
"vOTU0222","Low-quality","virulent",0,789.072485820323,656.667953832409,0,0
"vOTU0223","Low-quality","virulent",0,796.80843277729,155.177080033048,0,0
"vOTU0224","Low-quality","virulent",0,504.089736445628,77.7254406993695,0,0
"vOTU0225","Low-quality","virulent",0,680.397599433894,38.8730075241708,27.994368699628,0
"vOTU0035","Medium-quality","virulent",1,3354.34170935371,24.2081700813606,0,0
"vOTU0227","Low-quality","virulent",0,1323.59433414059,78.1113881359816,0,0
"vOTU0228","Not-determined","virulent",0,866.491037328569,39.2436269749456,0,0
"vOTU0229","Low-quality","virulent",0,1008.87441071157,118.194320318753,0,0
"vOTU0230","Low-quality","virulent",0,551.569492290097,118.778630551516,0,0
"vOTU0232","Low-quality","virulent",0,528.192866424692,680.54282542462,0,0
"vOTU0233","Low-quality","virulent",0,673.58874756176,8294.14950638495,0,0
"vOTU0036","Low-quality","virulent",0,952.305216197604,146.039613118431,0,0
"vOTU0234","Low-quality","virulent",0,2286.90389096251,200.8533169399,0,0
"vOTU0235","Low-quality","virulent",0,812.515911427233,120.644060912393,0,0
"vOTU0236","Low-quality","temperate",0,1474.64841943165,342.763818613944,0,168.398137139097
"vOTU0237","Low-quality","virulent",0,810.766223185433,161.404031678046,0,13.4804920392745
