"sample","subset","rank","n_vOTU","n_assigned","assigned_fraction","n_unclassified","unclassified_fraction"
"All samples (unique)","Primary catalogue","class",962,951,0.988565488565489,11,0.0114345114345114
"All samples (unique)","Primary catalogue","order",962,8,0.00831600831600832,954,0.991683991683992
"All samples (unique)","Primary catalogue","family",962,55,0.0571725571725572,907,0.942827442827443
"All samples (unique)","Primary catalogue","genus",962,21,0.0218295218295218,941,0.978170478170478
"BS","Abundant","class",4,4,1,0,0
"BS","Abundant","order",4,0,0,4,1
"BS","Abundant","family",4,0,0,4,1
"BS","Abundant","genus",4,0,0,4,1
"BS","Rare","class",552,544,0.985507246376812,8,0.0144927536231884
"BS","Rare","order",552,1,0.00181159420289855,551,0.998188405797101
"BS","Rare","family",552,29,0.052536231884058,523,0.947463768115942
"BS","Rare","genus",552,9,0.016304347826087,543,0.983695652173913
"SA","Abundant","class",37,36,0.972972972972973,1,0.027027027027027
"SA","Abundant","order",37,0,0,37,1
"SA","Abundant","family",37,3,0.0810810810810811,34,0.918918918918919
"SA","Abundant","genus",37,1,0.027027027027027,36,0.972972972972973
"SA","Rare","class",708,704,0.994350282485876,4,0.00564971751412429
"SA","Rare","order",708,4,0.00564971751412429,704,0.994350282485876
"SA","Rare","family",708,42,0.0593220338983051,666,0.940677966101695
"SA","Rare","genus",708,15,0.0211864406779661,693,0.978813559322034
"IA","Abundant","class",31,31,1,0,0
"IA","Abundant","order",31,1,0.032258064516129,30,0.967741935483871
"IA","Abundant","family",31,1,0.032258064516129,30,0.967741935483871
"IA","Abundant","genus",31,0,0,31,1
"IA","Rare","class",118,116,0.983050847457627,2,0.0169491525423729
"IA","Rare","order",118,0,0,118,1
"IA","Rare","family",118,3,0.0254237288135593,115,0.974576271186441
"IA","Rare","genus",118,2,0.0169491525423729,116,0.983050847457627
"DA","Abundant","class",20,19,0.95,1,0.05
"DA","Abundant","order",20,1,0.05,19,0.95
"DA","Abundant","family",20,1,0.05,19,0.95
"DA","Abundant","genus",20,2,0.1,18,0.9
"DA","Rare","class",165,164,0.993939393939394,1,0.00606060606060606
"DA","Rare","order",165,1,0.00606060606060606,164,0.993939393939394
"DA","Rare","family",165,2,0.0121212121212121,163,0.987878787878788
"DA","Rare","genus",165,2,0.0121212121212121,163,0.987878787878788
