"vOTU_id","class","order","family","genus","BS_group","SA_group","IA_group","DA_group","checkv_quality","final_strategy","MQ_or_better","representative_contig_id","representative_length_bp","BS_TPM","BS_relative_TPM","SA_TPM","SA_relative_TPM","IA_TPM","IA_relative_TPM","DA_TPM","DA_relative_TPM","class_assigned","class_raw","order_assigned","order_raw","family_assigned","family_raw","genus_assigned","genus_raw"
"vOTU0519","Caudoviricetes","Unclassified","Unclassified","Unclassified","Not detected","Abundant","Not detected","Not detected","Low-quality","temperate",0,"FCH3CGLCCXYL2DAA_NODE_1035",7086,0,0,12866.1166234071,0.0128661166234071,0,0,0,0,TRUE,"Caudoviricetes",FALSE,"",FALSE,"",FALSE,""
"vOTU0077","Caudoviricetes","Unclassified","Unclassified","Unclassified","Not detected","Abundant","Rare","Not detected","Low-quality","temperate",0,"FCH3CGLCCXYL2DAA_NODE_118",19537,0,0,28461.1003818813,0.0284611003818813,194.815614985499,0.000194815614985499,0,0,TRUE,"Caudoviricetes",FALSE,"",FALSE,"",FALSE,""
"vOTU0576","Caudoviricetes","Unclassified","Unclassified","Unclassified","Not detected","Abundant","Rare","Not detected","Low-quality","virulent",0,"FCH3CGLCCXYL2DAA_NODE_1191",6606,0,0,20501.45157632,0.02050145157632,816.227066415604,0.000816227066415604,0,0,TRUE,"Caudoviricetes",FALSE,"",FALSE,"",FALSE,""
"vOTU0114","Caudoviricetes","Unclassified","Peduoviridae","Unclassified","Not detected","Abundant","Rare","Not detected","Low-quality","virulent",0,"FCH3CGLCCXYL2DAA_NODE_124",15665,0,0,16307.0609326606,0.0163070609326606,121.484686264169,0.000121484686264169,0,0,TRUE,"Caudoviricetes",FALSE,"[Order]_Peduoviridae",TRUE,"Peduoviridae",FALSE,""
"vOTU0597","Caudoviricetes","Unclassified","Unclassified","Unclassified","Not detected","Abundant","Rare","Not detected","Low-quality","virulent",0,"FCH3CGLCCXYL2DAA_NODE_1240",6480,0,0,18283.3348264745,0.0182833348264745,538.416342890837,0.000538416342890837,0,0,TRUE,"Caudoviricetes",FALSE,"",FALSE,"",FALSE,""
"vOTU0617","Caudoviricetes","Unclassified","Unclassified","Unclassified","Not detected","Abundant","Rare","Not detected","Low-quality","virulent",0,"FCH3CGLCCXYL2DAA_NODE_1292",6347,0,0,15821.3846699076,0.0158213846699076,149.917732662396,0.000149917732662396,0,0,TRUE,"Caudoviricetes",FALSE,"",FALSE,"",FALSE,""
"vOTU0163","Caudoviricetes","Unclassified","Unclassified","Unclassified","Not detected","Abundant","Rare","Rare","Low-quality","virulent",0,"FCH3CGLCCXYL2DAA_NODE_131",13596,0,0,22854.095045668,0.022854095045668,128.307518955895,0.000128307518955895,32.4667869332222,3.24667869332222e-05,TRUE,"Caudoviricetes",FALSE,"",FALSE,"",FALSE,""
"vOTU0088","Caudoviricetes","Unclassified","Unclassified","Unclassified","Not detected","Abundant","Rare","Not detected","Low-quality","virulent",0,"FCH3CGLCCXYL2DAA_NODE_138",18319,0,0,25460.8132997122,0.0254608132997122,103.88430065141,0.00010388430065141,0,0,TRUE,"Caudoviricetes",FALSE,"",FALSE,"",FALSE,""
"vOTU0002","Caudoviricetes","Unclassified","Unclassified","Unclassified","Not detected","Abundant","Abundant","Not detected","Low-quality","virulent",0,"FCH3CGLCCXYL2EAA_NODE_231",9763,0,0,11097.6236315496,0.0110976236315496,24755.5222568397,0.0247555222568397,0,0,TRUE,"Caudoviricetes",FALSE,"",FALSE,"",FALSE,""
"vOTU0680","Caudoviricetes","Unclassified","Unclassified","Unclassified","Not detected","Abundant","Rare","Not detected","Not-determined","virulent",0,"FCH3CGLCCXYL2DAA_NODE_1439",5998,0,0,27242.4147441604,0.0272424147441604,158.640940951281,0.000158640940951281,0,0,TRUE,"Caudoviricetes",FALSE,"",FALSE,"",FALSE,""
"vOTU0342","Caudoviricetes","Unclassified","Unclassified","Unclassified","Not detected","Abundant","Rare","Not detected","Low-quality","temperate",0,"FCH3CGLCCXYL2DAA_NODE_147",8904,0,0,19192.1996098289,0.0191921996098289,712.435242673657,0.000712435242673657,0,0,TRUE,"Caudoviricetes",FALSE,"",FALSE,"",FALSE,""
"vOTU0095","Caudoviricetes","Unclassified","Unclassified","Unclassified","Not detected","Abundant","Rare","Rare","Low-quality","virulent",0,"FCH3CGLCCXYL2DAA_NODE_160",17312,0,0,25110.0674047826,0.0251100674047826,164.890487808587,0.000164890487808587,25.4978418020953,2.54978418020953e-05,TRUE,"Caudoviricetes",FALSE,"",FALSE,"",FALSE,""
"vOTU0758","Caudoviricetes","Unclassified","Unclassified","Unclassified","Not detected","Abundant","Rare","Not detected","Low-quality","virulent",0,"FCH3CGLCCXYL2DAA_NODE_1601",5667,0,0,13095.5837710292,0.0130955837710292,55.9689582279488,5.59689582279488e-05,0,0,TRUE,"Caudoviricetes",FALSE,"",FALSE,"",FALSE,""
"vOTU0772","Caudoviricetes","Unclassified","Unclassified","Unclassified","Not detected","Abundant","Not detected","Not detected","Low-quality","virulent",0,"FCH3CGLCCXYL2DAA_NODE_1629",5606,0,0,11313.2570376458,0.0113132570376458,0,0,0,0,TRUE,"Caudoviricetes",FALSE,"",FALSE,"",FALSE,""
