"quality_group","sample","n_catalogue","n_detected","n_temperate_detected","n_virulent_detected","temperate_TPM","virulent_TPM","classified_TPM","temperate_fraction","fraction_of_primary_TPM"
"All primary","BS",962,864,12,852,19272.4289068463,980727.571093155,1e+06,0.0192724289068462,1
"All primary","SA",962,786,19,767,161553.49984379,838446.50015621,1e+06,0.16155349984379,1
"All primary","IA",962,156,8,148,38592.4761226184,961407.523877382,1e+06,0.0385924761226184,1
"All primary","DA",962,211,6,205,189243.707453785,810756.292546215,1e+06,0.189243707453785,1
"Medium-quality or better","BS",55,39,3,36,5688.31003290242,64335.0655740057,70023.3756069082,0.081234444692227,0.0700233756069081
"Medium-quality or better","SA",55,45,5,40,64916.3453335151,67194.1894015987,132110.534735114,0.491379021844659,0.132110534735114
"Medium-quality or better","IA",55,18,3,15,20331.808253194,83737.6157585492,104069.424011743,0.195367740777539,0.104069424011743
"Medium-quality or better","DA",55,17,1,16,162796.683489272,142981.350790169,305778.034279441,0.53240149794572,0.305778034279441
"Complete","BS",4,3,0,3,0,4194.50358182967,4194.50358182967,0,0.00419450358182966
"Complete","SA",4,4,0,4,0,649.986680133375,649.986680133375,0,0.000649986680133375
"Complete","IA",4,2,0,2,0,25590.0510022999,25590.0510022999,0,0.0255900510022999
"Complete","DA",4,0,0,0,0,0,0,,0
"High-quality","BS",12,6,1,5,1599.349874873,7373.15540370112,8972.50527857412,0.178250090160678,0.0089725052785741
"High-quality","SA",12,6,1,5,337.562421263159,2474.00777731923,2811.57019858239,0.12006188621339,0.00281157019858239
"High-quality","IA",12,3,1,2,9.00352529906821,36.8289361305879,45.8324614296561,0.196444289008716,4.58324614296561e-05
"High-quality","DA",12,9,1,8,162796.683489272,123045.688115211,285842.371604483,0.569533070186431,0.285842371604483
"Medium-quality","BS",39,30,2,28,4088.96015802942,52767.406588475,56856.3667465044,0.071917366374467,0.0568563667465043
"Medium-quality","SA",39,35,4,31,64578.7829122519,64070.1949441461,128648.977856398,0.501976649859875,0.128648977856398
"Medium-quality","IA",39,13,2,11,20322.804727895,58110.7358201187,78433.5405480137,0.259108598004118,0.0784335405480137
"Medium-quality","DA",39,8,0,8,0,19935.6626749579,19935.6626749579,0,0.0199356626749579
"Low-quality","BS",874,800,9,791,13584.1188739439,885110.978893311,898695.097767255,0.0151153810760653,0.898695097767254
"Low-quality","SA",874,714,14,700,96637.154510275,724772.925865344,821410.080375619,0.11764787993116,0.821410080375619
"Low-quality","IA",874,128,5,123,18260.6678694244,750158.869441695,768419.537311119,0.0237639297060597,0.768419537311119
"Low-quality","DA",874,189,4,185,21191.1292799828,607813.369614753,629004.498894735,0.0336899486684421,0.629004498894735
"Not-determined","BS",33,25,0,25,0,31281.5266258377,31281.5266258377,0,0.0312815266258377
"Not-determined","SA",33,27,0,27,0,46479.3848892672,46479.3848892672,0,0.0464793848892672
"Not-determined","IA",33,10,0,10,0,127511.038677138,127511.038677138,0,0.127511038677138
"Not-determined","DA",33,5,1,4,5255.89468452983,59961.5721412937,65217.4668258236,0.0805902918395582,0.0652174668258235
