protein_id,gene,ko,vOTU_id,contig_id,contig_length_bp,n_orfs_on_contig,genomad_n_genes,gene_position,orf_start_bp,orf_end_bp,strand,checkv_quality_code,checkv_quality,checkv_completeness_pct,checkv_completeness_method,checkv_contamination_pct,checkv_provirus,genomad_virus_score,genomad_n_hallmarks,genomad_marker_enrichment,genomad_topology,virsorter2_score,virsorter2_group,virsorter2_category,taxonomy,host_genus,host_genus_confidence,host_genome_taxonomy,orfs_to_nearest_end,bp_to_nearest_end,is_terminal_orf,on_contig_edge,n_orfs_left,n_orfs_right,viral_genes_left,viral_genes_right,hallmark_genes_left,hallmark_genes_right,hallmark_ids_left,hallmark_ids_right,nearest5_left,nearest5_right,local_window_n_orfs,local10_hypothetical_fraction,contig_hypothetical_fraction,dramv_is_transposon,dramv_virsorter_category_orf,dramv_auxiliary_score,dramv_amg_flags,n_mge_orfs_on_contig,mobile_element_signals,cand_anno,outside_prophage_boundary_indication,verdict_viral_origin,verdict_basis
FCH3CGLCCXYL4FAA_NODE_182_13,rfbA,K00973,vOTU0199,FCH3CGLCCXYL4FAA_NODE_182,12071,16,15,13,9023,9898,-1,4.0,code 4 (consistent with 'Low-quality'; inferred),6.75,AAI-based (medium-confidence),0.0,No,0.9764,2,22.3032,No terminal repeats,1.0,dsDNAphage,1,Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes,none assigned,,none assigned,3,2173,False,False,12,3,8,2,1,0,pos1:YP_010114492.1 endolysin [Flavobacterium,none,"8[vir,hyp]; 9[vir,hyp]; 10[vir]; 11[vir,hyp]; 12[vir]","14[vir]; 15[vir,hyp]; 16[hyp]",9,0.556,0.688,0,1,2,F,0,none detected (DRAM-v is_transposon=0 for all ORFs on contig),unknown function | YP_009987270.1 glucose-1-phosphate thymid,"CheckV provirus=No on all 16 carrier contigs, so CheckV produced no provirus/host-boundary coordinates; the coordinate-based 'outside prophage boundary' test could not be performed. VirSorter2 category encoding is not defined in the supplied files, so no partial/host-derived inference is drawn from it. No positive indication: internal (13/16, 2,173 bp from end), endolysin hallmark on the left flank and a phage glycan-modification module immediately adjacent.",supported,"12,071 bp, 16 ORFs, geNomad 0.976 with 2 hallmarks and marker enrichment 22.3, VS2 1.000 cat 1, CheckV code 4 / 6.75%. ORF at 13/16, 2,173 bp from the nearest end. Left flank 8 viral-DB ORFs including a localisable endolysin hallmark at pos1; right flank 2 viral-DB ORFs. The immediate neighbourhood is a coherent phage glycan-modification module - pos12 NAD-dependent epimerase/dehydratase (Cedratvirus), pos14 nucleotide-sugar epimerase (Dompiswa phage TSP7_1), pos10 cytidyltransferase (Pelagibacter phage HTVC008M) - and the surrounding ORFs best-match Synechococcus and Flavobacterium phages. No MGE ORF on the contig; DRAM-v is_transposon=0 and auxiliary score 2. Caveat: 68.8% of the contig is hypothetical and CheckV completeness is 6.75%, so the contig is a fragment of a larger genome."
TARATASF_NODE_410_3,rfbA,K00973,vOTU0734,TARATASF_NODE_410,5767,8,8,3,974,1720,-1,5.0,code 5 (consistent with 'Not-determined'; inferred),,,0.0,No,0.9049,0,5.0848,No terminal repeats,0.973,NCLDV,2,Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes,d__Bacteria;p__Cyanobacteriota;c__Vampirovibrionia;o__Gastranaerophilales;f__Gastranaerophilaceae;g__UMGS1585,78.5,d__Bacteria;p__Cyanobacteriota;c__Vampirovibrionia;o__Gastranaerophilales;f__Gastranaerophilaceae;g__CAG-196;s__CAG-196 sp002102975,2,973,False,True,2,5,2,5,0,0,none,none,"1[vir,hyp]; 2[vir]","4[vir]; 5[vir]; 6[vir]; 7[vir,MGE]; 8[vir,MGE]",8,0.125,0.125,0,1,3,F,2,"pos7 7 MGE:NP_612875.1 integrase [Clostridium phage phi3 (d=+4 ORFs, 2005 bp) | pos8 8 MGE:NP_612875.1 integrase [Clostridium phage phi3 (d=+5 ORFs, 2796 bp) | pos7 recomb-nuclease(not MGE):NP_612875.1 integrase [Clostridium phage (d=+4 ORFs)",YP_010097799.1 hypothetical protein KNU05_gp096 [Synechococc,"CheckV provirus=No on all 16 carrier contigs, so CheckV produced no provirus/host-boundary coordinates; the coordinate-based 'outside prophage boundary' test could not be performed. VirSorter2 category encoding is not defined in the supplied files, so no partial/host-derived inference is drawn from it. POSITIVE INDICATION of a prophage-junction context: two phage-integrase ORFs at positions 7-8 (contig end), lysogenic/temperate lifestyle calls, 0 geNomad hallmarks, no CheckV completeness estimate at all. Candidate is 973 bp from the terminus. Boundary cannot be placed, so inside/outside is undetermined.",partly supported,"Shared contig with TARATASF_NODE_410_4 (adjacent ORFs). 5,767 bp, only 8 ORFs; CheckV returned quality code 5 with NO completeness estimate and no completeness method, so no CheckV completeness evidence exists for this carrier at all. It has the LOWEST geNomad score of the 16 carriers (0.9049), 0 hallmarks and the lowest marker enrichment (5.08). Two integrase ORFs occupy positions 7 and 8 at the contig end (best hit Clostridium phage phi3626 integrase; 'site-specific recombinase, phage integrase family'), 4 and 5 ORFs from the candidate, and VIBRANT/BACPHLIP both call the contig lysogenic/temperate - a prophage-junction context whose boundary cannot be located because CheckV called provirus=No. The candidate is at position 3/8, 973 bp from the terminus. All flanking ORFs do carry phage RefSeq best hits (2 left, 5 right) and the contig hypothetical fraction is low (0.125), but every hit in the flanks is a 'hypothetical protein' from a Synechococcus phage - no hallmark, no identifiable structural or replication module. VS2 0.973 but group 'NCLDV', inconsistent with the Caudoviricetes taxonomy. DRAM-v auxiliary score 3."
TARATASF_NODE_410_4,rfbA,K00973,vOTU0734,TARATASF_NODE_410,5767,8,8,4,1725,2441,-1,5.0,code 5 (consistent with 'Not-determined'; inferred),,,0.0,No,0.9049,0,5.0848,No terminal repeats,0.973,NCLDV,2,Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes,d__Bacteria;p__Cyanobacteriota;c__Vampirovibrionia;o__Gastranaerophilales;f__Gastranaerophilaceae;g__UMGS1585,78.5,d__Bacteria;p__Cyanobacteriota;c__Vampirovibrionia;o__Gastranaerophilales;f__Gastranaerophilaceae;g__CAG-196;s__CAG-196 sp002102975,3,1724,False,False,3,4,3,4,0,0,none,none,"1[vir,hyp]; 2[vir]; 3[vir]","5[vir]; 6[vir]; 7[vir,MGE]; 8[vir,MGE]",8,0.125,0.125,0,1,3,F,2,"pos7 7 MGE:NP_612875.1 integrase [Clostridium phage phi3 (d=+3 ORFs, 1284 bp) | pos8 8 MGE:NP_612875.1 integrase [Clostridium phage phi3 (d=+4 ORFs, 2075 bp) | pos7 recomb-nuclease(not MGE):NP_612875.1 integrase [Clostridium phage (d=+3 ORFs)",unknown function | YP_009322617.1 nucleoside-diphosphate-sug,"CheckV provirus=No on all 16 carrier contigs, so CheckV produced no provirus/host-boundary coordinates; the coordinate-based 'outside prophage boundary' test could not be performed. VirSorter2 category encoding is not defined in the supplied files, so no partial/host-derived inference is drawn from it. POSITIVE INDICATION of a prophage-junction context, identical to TARATASF_NODE_410_3 (same contig): phage integrases at positions 7-8, lysogenic/temperate calls, 0 hallmarks, no CheckV completeness estimate. Candidate at 1,724 bp from the terminus.",partly supported,"Same 5,767 bp / 8-ORF contig as TARATASF_NODE_410_3 and adjacent to it; all contig-level limitations apply identically - no CheckV completeness estimate (quality code 5), lowest geNomad score of the set (0.9049), 0 hallmarks, lowest marker enrichment (5.08), two phage-integrase ORFs at positions 7-8 (3 and 4 ORFs away) and a lysogenic/temperate lifestyle call, with no provirus coordinates available to place the phage/host boundary. Position 4/8, 1,724 bp from the nearest end, 3 viral-DB ORFs left and 4 right, all 'hypothetical protein' level, no hallmark localisable. The two rfbA-region ORFs sit next to a nucleoside-diphosphate-sugar pyrophosphorylase (pos4 candidate itself), HAD-superfamily hydrolase (pos5) and glycosyltransferase/phospholipase (pos6), i.e. a plausible sugar-modification block, but nothing in this neighbourhood is virus-diagnostic. DRAM-v auxiliary score 3."
FCH3CGLCCXYL4FAA_NODE_227_12,RNR,K00525,vOTU0239,FCH3CGLCCXYL4FAA_NODE_227,10864,13,12,12,8857,10617,-1,4.0,code 4 (consistent with 'Low-quality'; inferred),26.11,AAI-based (high-confidence),0.0,No,0.9834,5,19.8985,No terminal repeats,1.0,dsDNAphage,1,Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;[Order]_Autographiviridae;Autographiviridae,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Flavobacteriaceae;g__Xanthomarina,87.3,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Flavobacteriaceae;g__Psychroserpens;s__Psychroserpens sp023556315,1,247,False,True,11,1,9,1,6,0,pos1:YP_010761244.1 tail protein [uncultured ; pos2:unknown function | YP_007517839.1 tail p; pos4:head-tail adaptor | connector | YP_00977; pos7:YP_010761240.1 head assembly [uncultured; pos8:YP_007517835.1 head-to-tail joining prot; pos10:internal virion protein | head and packa,none,"7[HALL,vir]; 8[HALL,vir]; 9[hyp]; 10[HALL,vir]; 11[vir]",13[vir],7,0.143,0.154,0,1,2,MKEF,0,none detected (DRAM-v is_transposon=0 for all ORFs on contig),YP_007517830.1 ribonucleoside-diphosphate reductase large su,"CheckV provirus=No on all 16 carrier contigs, so CheckV produced no provirus/host-boundary coordinates; the coordinate-based 'outside prophage boundary' test could not be performed. VirSorter2 category encoding is not defined in the supplied files, so no partial/host-derived inference is drawn from it. Weak indication only from position: penultimate ORF, 247 bp from the contig end, right flank is a single ORF. Left flank is an intact head-packaging module, so no host-like region is implied.",supported,"geNomad 0.983 with 5 hallmarks and marker enrichment 19.9; VS2 1.000 cat 1; taxonomy Autographiviridae; CheckV code 4 / 26.11% (AAI high-confidence). The ORF is penultimate (12/13) and only 247 bp from the contig end, so the right flank is a single ORF - flanking evidence on that side is intrinsically limited. The left flank is nonetheless decisive: 9 viral-DB ORFs with 6 localisable hallmarks forming an intact Autographiviridae head-packaging module (tail protein, tail tubular gp11, major head protein/head-tail adaptor, head assembly/scaffold, portal/head-to-tail joining, internal virion protein), and the immediate left neighbour (pos11) is the ribonucleotide-reductase small subunit, i.e. the canonical nrdB partner. No MGE on the contig. DRAM-v auxiliary score 2."
FCH3CGLCCXYL4FAA_NODE_34_16,RNR,K00525,vOTU0047,FCH3CGLCCXYL4FAA_NODE_34,30723,26,26,16,21646,23577,1,4.0,code 4 (consistent with 'Low-quality'; inferred),19.03,AAI-based (medium-confidence),0.0,No,0.9374,3,21.2037,No terminal repeats,0.993,dsDNAphage,1,Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes,none assigned,,none assigned,10,7146,False,False,15,10,12,7,5,0,"pos5:YP_007006119.1 terminase large subunit [; pos6:tail protein | tail | YP_010419861.1 hyp; pos7:YP_007006124.1 virion structural protein; pos8:unknown function | YP_007006125.1 virion; pos11:replication protein | DNA, RNA and nucle",none,"11[HALL,vir]; 12[vir,hyp]; 13[hyp]; 14[vir]; 15[vir]",17[vir]; 18[vir]; 19[vir]; 20[hyp]; 21[hyp],11,0.364,0.423,0,1,2,MKE,0,pos24 'plasmid' only in Pfam domain name:YP_007006150.1 DNA primase [Cyanophage S-TIM5 (d=+8 ORFs) | pos25 'plasmid' only in Pfam domain name:YP_007006151.1 hypothetical protein F417_gp07 (d=+9 ORFs),unknown function | YP_007006137.1 ribonucleoside-diphosphate,"CheckV provirus=No on all 16 carrier contigs, so CheckV produced no provirus/host-boundary coordinates; the coordinate-based 'outside prophage boundary' test could not be performed. VirSorter2 category encoding is not defined in the supplied files, so no partial/host-derived inference is drawn from it. No positive indication: internal (16/26, 7,146 bp from end), hallmark-bearing structural module on the left flank.",supported,"geNomad 0.937 (3 hallmarks, marker enrichment 21.2), VS2 0.993 cat 1, CheckV code 4 / 19.03%. ORF at 16/26, 7,146 bp from the nearest end. Left flank 12 viral-DB ORFs with 5 localisable hallmarks (terminase large subunit pos5, tail protein pos6, virion structural/packaging pos7 and pos8, tail fibre pos11); right flank 7 viral-DB ORFs, no localisable hallmark. Immediate neighbours form a canonical phage nucleotide-metabolism block, nearly all best-matching Cyanophage S-TIM5: NrdB (RNR small subunit) pos14, HNH endonuclease pos15, dUTPase pos17, anti-termination Q-like pos18, HNH pos19. No MGE: the only 'plasmid' string on the contig is inside the Pfam domain name 'Phage/plasmid primase, P4 family' (pos24, pos25), which is a domain label and not a plasmid signal. DRAM-v auxiliary score 2."
FCH3CGLCCXYL4FAA_NODE_354_7,RNR,K00525,vOTU0359,FCH3CGLCCXYL4FAA_NODE_354,8654,17,17,7,3268,5052,-1,4.0,code 4 (consistent with 'Low-quality'; inferred),9.29,AAI-based (high-confidence),0.0,No,0.9776,3,15.7093,No terminal repeats,0.933,dsDNAphage,2,Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes,d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales_A;f__Vibrionaceae;g__Vibrio,91.8,d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales_A;f__Vibrionaceae;g__Vibrio;s__Vibrio sinensis,6,3267,False,False,6,10,3,4,0,0,none,none,2[vir]; 3[vir]; 4[vir]; 5[hyp]; 6[hyp],"8[hyp]; 9[vir]; 10[hyp]; 11[hyp]; 12[vir,hyp]",11,0.545,0.647,0,1,3,MKEF,0,none detected (DRAM-v is_transposon=0 for all ORFs on contig),baseplate hub subunit and tail lysozyme | tail | YP_00904671,"CheckV provirus=No on all 16 carrier contigs, so CheckV produced no provirus/host-boundary coordinates; the coordinate-based 'outside prophage boundary' test could not be performed. VirSorter2 category encoding is not defined in the supplied files, so no partial/host-derived inference is drawn from it. No positive indication from position (7/17, 3,267 bp from end); however no hallmark is localisable to either flank and 54.5% of the local window is unannotated, so a viral neighbourhood is not positively demonstrated either.",partly supported,"Contig-level calls are positive (geNomad 0.978 with 3 hallmarks, VS2 0.933 cat 2, host Vibrio 91.8%) but CheckV completeness is 9.29% on an 8,654 bp contig. ORF at 7/17, 3,267 bp from the nearest end - internal position is fine. However no hallmark gene could be localised to either flank from the joined annotations (3 viral-DB ORFs left, 4 right), 54.5% of the 11-ORF window is hypothetical/unannotated, and the flanking viral-DB hits are diffuse (homing endonuclease, iridovirus 376L, 2OG-Fe(II) oxygenase, DNA primase) rather than a coherent phage module. Annotation of the candidate itself is internally contradictory: PHROG calls it 'baseplate hub subunit and tail lysozyme' at 48 bits / 15.3% identity while DRAM-v, VOGDB and eggNOG all call ribonucleotide reductase. DRAM-v auxiliary score 3. Note geNomad reports 3 hallmarks contig-wide that I could not localise (see limitations)."
FCH3CGLCCXYL4FAA_NODE_4_40,RNR,K00525,vOTU0014,FCH3CGLCCXYL4FAA_NODE_4,55150,58,59,40,44184,45914,-1,3.0,code 3 (consistent with 'Medium-quality'; inferred),85.47,AAI-based (high-confidence),0.0,No,0.9778,2,87.7287,No terminal repeats,0.993,dsDNAphage,1,Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes,d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Nitrosomonadaceae;g__GCA-2721545,88.4,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Flavobacteriaceae;g__Patiriisocius;s__Patiriisocius sp018656255,18,9236,False,False,39,18,17,12,9,1,pos1:YP_009174463.1 long tail fiber protein d; pos24:unknown function | YP_010109072.1 termin; pos25:YP_010108897.1 portal protein [Flavobact; pos27:YP_010109167.1 virion structural protein; pos29:YP_010109077.1 virion structural protein; pos30:YP_010108902.1 virion structural protein; pos31:unknown function | YP_008241478.1 virion; pos32:YP_010356533.1 virion structural protein; pos38:YP_010112541.1 endolysin [uncultured pha,pos44:holin | lysis,"35[vir,hyp]; 36[hyp]; 37[hyp]; 38[HALL,vir]; 39[hyp]","41[hyp]; 42[vir]; 43[-]; 44[HALL,vir]; 45[hyp]",11,0.545,0.517,0,1,2,MKE,0,pos46 recomb-nuclease(not MGE):YP_010112561.1 Holliday junction resolva (d=+6 ORFs),YP_010114422.1 ribonucleotide reductase [Flavobacterium phag,"CheckV provirus=No on all 16 carrier contigs, so CheckV produced no provirus/host-boundary coordinates; the coordinate-based 'outside prophage boundary' test could not be performed. VirSorter2 category encoding is not defined in the supplied files, so no partial/host-derived inference is drawn from it. No positive indication: internal (40/58, 9,236 bp from end) within a near-complete (85.5%) genome with hallmarks on both flanks.",supported,"Strongest contig of the RNR set: 55,150 bp, CheckV code 3 / 85.47% complete (AAI high-confidence), 0% contamination, provirus=No; geNomad 0.978 with marker enrichment 87.7 (highest of the 16); VS2 0.993 cat 1. ORF at 40/58, 9,236 bp from the nearest end. Left flank 17 viral-DB ORFs with 9 localisable hallmarks (long tail fibre pos1, terminase large subunit pos24, portal pos25, virion structural proteins pos27-32, endolysin pos38); right flank 12 viral-DB ORFs with a holin at pos44. Immediate right neighbour pos42 is the ribonucleoside reductase beta chain - the canonical nrdAB pairing - and pos43 carries a deoxyribonucleotide-biosynthesis annotation. No MGE ORF on the contig (the pos46 Holliday-junction resolvase is a phage recombination nuclease). DRAM-v auxiliary score 2."
FCH3CGLCCXYL4FAA_NODE_682_2,RNR,K00525,vOTU0641,FCH3CGLCCXYL4FAA_NODE_682,6198,10,10,2,247,2004,-1,4.0,code 4 (consistent with 'Low-quality'; inferred),16.11,AAI-based (high-confidence),0.0,No,0.9825,2,14.8259,No terminal repeats,0.987,dsDNAphage,2,Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes,none assigned,,none assigned,1,246,False,True,1,8,1,4,0,0,none,none,"1[vir,hyp]",3[hyp]; 4[vir]; 5[hyp]; 6[vir]; 7[hyp],7,0.571,0.5,0,1,3,MKEF,0,none detected (DRAM-v is_transposon=0 for all ORFs on contig),YP_010672537.1 ribonucleotide reductase [Vibrio phage Vp_R1],"CheckV provirus=No on all 16 carrier contigs, so CheckV produced no provirus/host-boundary coordinates; the coordinate-based 'outside prophage boundary' test could not be performed. VirSorter2 category encoding is not defined in the supplied files, so no partial/host-derived inference is drawn from it. Weak indication from position: 2nd of 10 ORFs, 246 bp from the contig end; left flank is a single 'unknown function' ORF.",partly supported,"Short carrier: 6,198 bp, 10 ORFs, CheckV code 4 / 16.11%. The ORF is the second gene on the contig and 246 bp from the terminus, so the left flank consists of one ORF whose only annotation is PHROG 'unknown function' - it contributes no positional information. Contig-level calls are positive (geNomad 0.983 with 2 hallmarks, VS2 0.987 cat 2) and the right flank has 4 viral-DB ORFs (nucleotide kinase pos4, Pseudomonas-phage hypothetical pos6), but no hallmark gene is localisable on either side and 57.1% of the 7-ORF window is hypothetical/unannotated. Flanking evidence is intrinsically limited by contig length. DRAM-v auxiliary score 3."
FCH3CGLCCXYL4FAA_NODE_712_8,RNR,K00525,vOTU0666,FCH3CGLCCXYL4FAA_NODE_712,6064,12,12,8,3082,4836,-1,4.0,code 4 (consistent with 'Low-quality'; inferred),6.53,AAI-based (high-confidence),0.0,No,0.9829,3,14.5426,No terminal repeats,0.98,dsDNAphage,2,Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes,none assigned,,none assigned,4,1228,False,False,7,4,1,2,0,0,none,none,3[hyp]; 4[hyp]; 5[vir]; 6[hyp]; 7[hyp],9[vir]; 10[hyp]; 11[vir]; 12[hyp],10,0.6,0.667,0,1,3,MKEF,0,none detected (DRAM-v is_transposon=0 for all ORFs on contig),YP_010761233.1 ribonucleoside-diphosphate reductase large su,"CheckV provirus=No on all 16 carrier contigs, so CheckV produced no provirus/host-boundary coordinates; the coordinate-based 'outside prophage boundary' test could not be performed. VirSorter2 category encoding is not defined in the supplied files, so no partial/host-derived inference is drawn from it. No positional indication (8/12, 1,228 bp from end); flanks sparse and hallmark-free, so neither inside nor outside a phage region is established.",partly supported,"Short carrier: 6,064 bp, 12 ORFs, CheckV code 4 / 6.53%, vOTU unclassified by vConTACT. ORF at 8/12, 1,228 bp from the nearest end. Contig-level calls positive (geNomad 0.983 with 3 hallmarks, VS2 0.980 cat 2). Flanks are sparse: 1 viral-DB ORF left (pos5, itself an RNR-diphosphate reductase hit), 2 right (nucleotide kinase pos9, endodeoxyribonuclease I pos11); no hallmark localisable either side and 60.0% of the 11-ORF window is hypothetical/unannotated - the highest local hypothetical fraction among the RNR carriers. Phage-typical function on the right flank is real but thin, and the contig is too short for flanking evidence to be decisive. DRAM-v auxiliary score 3."
FCH3CGLCCXYL4FAA_NODE_874_7,RNR,K00525,vOTU0805,FCH3CGLCCXYL4FAA_NODE_874,5519,10,11,7,3282,5012,1,4.0,code 4 (consistent with 'Low-quality'; inferred),11.9,AAI-based (high-confidence),0.0,No,0.9833,1,15.3819,No terminal repeats,0.987,dsDNAphage,2,Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes,none assigned,,none assigned,3,507,False,True,6,3,4,1,0,0,none,none,2[vir]; 3[vir]; 4[vir]; 5[-]; 6[vir],8[-]; 9[vir]; 10[hyp],9,0.111,0.1,0,1,3,MKEF,0,pos3 recomb-nuclease(not MGE):YP_010670782.1 RusA-like Holliday juncti (d=-4 ORFs),unknown function | YP_223938.1 ribonucleotide reductase [Alp,"CheckV provirus=No on all 16 carrier contigs, so CheckV produced no provirus/host-boundary coordinates; the coordinate-based 'outside prophage boundary' test could not be performed. VirSorter2 category encoding is not defined in the supplied files, so no partial/host-derived inference is drawn from it. Weak indication from position: 507 bp from the contig end on a 5,519 bp contig; flanking ORFs on both sides nonetheless all carry phage RefSeq best hits.",supported,"Short contig (5,519 bp, 10 ORFs, CheckV code 4 / 11.90%) and the ORF is 507 bp from the nearest end, so flanking evidence is intrinsically limited - but it is unusually dense: the contig hypothetical fraction is 0.100 and the local fraction 0.111, the lowest of all 17, and every other ORF except pos5/pos8/pos10 has a phage RefSeq best hit. The immediate neighbourhood is a coherent phage DNA-metabolism block: Cas4-domain exonuclease pos2, RusA-like Holliday-junction resolvase pos3, metallo-dependent phosphatase pos4, nucleotide pyrophosphohydrolase pos6, nucleotide kinase pos9, all best-matching Synechococcus/Lentibacter/Rheinheimera phages. geNomad 0.983 (1 hallmark), VS2 0.987 cat 2, no MGE ORF. Caveat: no hallmark gene is localisable to either flank, and no independent test of contig completeness is possible at 11.9%. DRAM-v auxiliary score 3."
