"vOTU_id","protein_id","amg_contig_id","amg_contig_length","tools","dbids","descriptions","min_auxiliary_score","amg_flags","gene","gene_label","sample","representative_length_bp","reference_associated","in_primary_962","in_filtered_936","checkv_quality","class","family","predicted_replication_strategy","context_available","contig_total_genes","gene_position","genes_to_nearest_end","bp_to_nearest_end","on_contig_edge","flank_n","flank_annotated_frac","flank_viral_homolog_n","viral_homolog_left_n","viral_homolog_right_n","flanked_both_sides_by_viral","flank_structural_n","flank_mobile_n","focal_ko","focal_kegg","focal_viral_hit","focal_vogdb","focal_aux_score","focal_amg_flags","focal_is_structural_annotated","focal_is_mobile","annotation_conflict","screen_a_context","screen_b_not_edge","screen_c_no_mobile","screen_d_viral_flanks","screen_e_annotated","screen_f_no_conflict","screen_g_aux_ok","locus_screen_pass","dramv_flags_chr","gios_aux_le3","gios_has_M","gios_no_TFVAPB","strict_DRAMv","amg_contig_ge10kb","AUTOMATED_SCREEN_VERDICT","AUTOMATED_SCREEN_RATIONALE","in_T1_962","in_T3_962","in_T4_962","in_T5_962","in_T1_936","in_T3_936","in_T4_936","in_T5_936"
"vOTU0006","TARATASF_NODE_1_128","TARATASF_NODE_1",172496,"VIBRANT","K00287","DHFR, folA; dihydrofolate reductase [EC:1.5.1.3]",NA,"","folA","folA","DA",172496,TRUE,TRUE,FALSE,"Medium-quality","Caudoviricetes","","virulent",TRUE,181,128,53,42035,FALSE,10,0.2,2,0,2,FALSE,0,0,"K00287","dihydrofolate reductase [EC:1.5.1.3]","YP_009223774.1 dihydrofolate reductase [Geobacillus virus E3]","sp|P04382|DYR_BPT4 Dihydrofolate reductase; Xh",2,"",FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,"",FALSE,FALSE,TRUE,FALSE,TRUE,"FAIL (e) - flanked predominantly by unannotated / hypothetical genes","gene 128/181; 53 genes and 42,035 bp from nearest contig end; 20% of flanking genes annotated; 0/2 viral-origin neighbours left/right; 0 structural-hallmark and 0 mobile-element neighbours; DRAM-v aux score 2 flags ''",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"vOTU0006","TARATASF_NODE_1_160","TARATASF_NODE_1",172496,"VIBRANT","K14379","ACP5; tartrate-resistant acid phosphatase type 5 [EC:3.1.3.2]",NA,"","ACP5","ACP5","DA",172496,TRUE,TRUE,FALSE,"Medium-quality","Caudoviricetes","","virulent",TRUE,181,160,21,13570,FALSE,10,0.2,2,1,1,TRUE,0,0,"K14379","tartrate-resistant acid phosphatase type 5 [EC:3.1.3.2]","","",2,"",FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,"",FALSE,FALSE,TRUE,FALSE,TRUE,"FAIL (e) - flanked predominantly by unannotated / hypothetical genes","gene 160/181; 21 genes and 13,570 bp from nearest contig end; 20% of flanking genes annotated; 1/1 viral-origin neighbours left/right; 0 structural-hallmark and 0 mobile-element neighbours; DRAM-v aux score 2 flags ''",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"vOTU0006","TARATASF_NODE_1_45","TARATASF_NODE_1",172496,"DRAM-v","K01520","dUTP pyrophosphatase [EC:3.6.1.23] [RN:R02100]",1,"M","dUTP pyrophosphatase [EC:3.6.1.23] [RN:R02100]","dUTP pyrophosphatase","DA",172496,TRUE,TRUE,FALSE,"Medium-quality","Caudoviricetes","","virulent",TRUE,181,45,44,36214,FALSE,10,0.4,4,2,2,TRUE,0,0,"K01520","dUTP diphosphatase [EC:3.6.1.23]","","",1,"M",FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,"M",TRUE,TRUE,TRUE,TRUE,TRUE,"FAIL (e) - flanked predominantly by unannotated / hypothetical genes","gene 45/181; 44 genes and 36,214 bp from nearest contig end; 40% of flanking genes annotated; 2/2 viral-origin neighbours left/right; 0 structural-hallmark and 0 mobile-element neighbours; DRAM-v aux score 1 flags 'M'",TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
"vOTU0007","FCH3CGLCCXYL4FAA_NODE_1_23","FCH3CGLCCXYL4FAA_NODE_1",98907,"VIBRANT","K01654","E2.5.1.56, neuB; N-acetylneuraminate synthase [EC:2.5.1.56]",NA,"","neuB","neuB","BS",98907,FALSE,TRUE,TRUE,"Medium-quality","Caudoviricetes","","virulent",TRUE,121,23,22,14367,FALSE,10,0.5,5,2,3,TRUE,0,0,"","","","",2,"",FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,"",FALSE,FALSE,TRUE,FALSE,TRUE,"PASS - all seven screen criteria met","gene 23/121; 22 genes and 14,367 bp from nearest contig end; 50% of flanking genes annotated; 2/3 viral-origin neighbours left/right; 0 structural-hallmark and 0 mobile-element neighbours; DRAM-v aux score 2 flags ''",TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
"vOTU0007","FCH3CGLCCXYL4FAA_NODE_1_25","FCH3CGLCCXYL4FAA_NODE_1",98907,"VIBRANT","K21749","CMAS; N-acylneuraminate/3-deoxy-D-glycero-D-galacto-nononate cytidylyltransferase [EC:2.7.7.43 2.7.7.92]",NA,"","CMAS","CMAS","BS",98907,FALSE,TRUE,TRUE,"Medium-quality","Caudoviricetes","","virulent",TRUE,121,25,24,15823,FALSE,10,0.5,5,2,3,TRUE,0,0,"","","","",2,"",FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,"",FALSE,FALSE,TRUE,FALSE,TRUE,"PASS - all seven screen criteria met","gene 25/121; 24 genes and 15,823 bp from nearest contig end; 50% of flanking genes annotated; 2/3 viral-origin neighbours left/right; 0 structural-hallmark and 0 mobile-element neighbours; DRAM-v aux score 2 flags ''",TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
"vOTU0007","FCH3CGLCCXYL4FAA_NODE_1_28","FCH3CGLCCXYL4FAA_NODE_1",98907,"VIBRANT","K01854","glf; UDP-galactopyranose mutase [EC:5.4.99.9]",NA,"","glf","glf","BS",98907,FALSE,TRUE,TRUE,"Medium-quality","Caudoviricetes","","virulent",TRUE,121,28,27,17383,FALSE,10,0.4,4,2,2,TRUE,0,0,"K01854","UDP-galactopyranose mutase [EC:5.4.99.9]","YP_010662143.1 UDP-galactopyranose mutase [Rhizobium phage P9VFCI]","sp|P9WIQ1|GLF_MYCTU UDP-galactopyranose mutase; Xh",2,"",FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,"",FALSE,FALSE,TRUE,FALSE,TRUE,"FAIL (e) - flanked predominantly by unannotated / hypothetical genes","gene 28/121; 27 genes and 17,383 bp from nearest contig end; 40% of flanking genes annotated; 2/2 viral-origin neighbours left/right; 0 structural-hallmark and 0 mobile-element neighbours; DRAM-v aux score 2 flags ''",TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
"vOTU0007","FCH3CGLCCXYL4FAA_NODE_1_67","FCH3CGLCCXYL4FAA_NODE_1",98907,"DRAM-v","K06217","phoH; phosphate starvation-inducible protein",1,"MK","phoH","phoH","BS",98907,FALSE,TRUE,TRUE,"Medium-quality","Caudoviricetes","","virulent",TRUE,121,67,54,46411,FALSE,10,0.3,3,2,1,TRUE,0,1,"K06217","phosphate starvation-inducible protein PhoH and related proteins","YP_009196258.1 PhoH-like phosphate starvation-inducible [Pseudomonas phage PaMx11]","sp|P46343|PHOL_BACSU PhoH-like protein; Xh",1,"MK",FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,"MK",TRUE,TRUE,TRUE,TRUE,TRUE,"FAIL (c) - mobile-element annotation on the candidate or in the window","gene 67/121; 54 genes and 46,411 bp from nearest contig end; 30% of flanking genes annotated; 2/1 viral-origin neighbours left/right; 0 structural-hallmark and 1 mobile-element neighbours; DRAM-v aux score 1 flags 'MK'",TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE
"vOTU0008","TARATASF_NODE_2_41","TARATASF_NODE_2",90244,"DRAM-v","K01520","dUTP pyrophosphatase [EC:3.6.1.23] [RN:R02100]",2,"M","dUTP pyrophosphatase [EC:3.6.1.23] [RN:R02100]","dUTP pyrophosphatase","DA",90244,TRUE,TRUE,FALSE,"High-quality","Caudoviricetes","Crevaviridae","virulent",TRUE,82,41,40,27448,FALSE,10,1,10,5,5,TRUE,0,0,"K01520","dUTP diphosphatase [EC:3.6.1.23]","YP_010360086.1 deoxyuridine 5-triphosphate nucleotidohydrolase [uncultured phage cr13_1]","",2,"M",FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,"M",TRUE,TRUE,TRUE,TRUE,TRUE,"PASS - all seven screen criteria met","gene 41/82; 40 genes and 27,448 bp from nearest contig end; 100% of flanking genes annotated; 5/5 viral-origin neighbours left/right; 0 structural-hallmark and 0 mobile-element neighbours; DRAM-v aux score 2 flags 'M'",TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
"vOTU0009","TARATASF_NODE_3_3","TARATASF_NODE_3",85487,"DRAM-v","K01520","dUTP pyrophosphatase [EC:3.6.1.23] [RN:R02100]",2,"MF","dUTP pyrophosphatase [EC:3.6.1.23] [RN:R02100]","dUTP pyrophosphatase","DA",85487,TRUE,TRUE,FALSE,"High-quality","Caudoviricetes","","virulent",TRUE,110,3,2,1302,TRUE,7,0.142857142857143,1,0,1,FALSE,0,0,"K01520","dUTP diphosphatase [EC:3.6.1.23]","YP_009010745.1 dUTPase [Croceibacter phage P2559Y]","",2,"MF",FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,"MF",TRUE,TRUE,FALSE,FALSE,TRUE,"FAIL (b) - candidate lies at or within 5 kb of a contig boundary","gene 3/110; 2 genes and  1,302 bp from nearest contig end; 14% of flanking genes annotated; 0/1 viral-origin neighbours left/right; 0 structural-hallmark and 0 mobile-element neighbours; DRAM-v aux score 2 flags 'MF'",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"vOTU0009","TARATASF_NODE_3_50","TARATASF_NODE_3",85487,"VIBRANT","K00558","DNMT1, dcm; DNA (cytosine-5)-methyltransferase 1 [EC:2.1.1.37]",NA,"","dcm","dcm","DA",85487,TRUE,TRUE,FALSE,"High-quality","Caudoviricetes","","virulent",TRUE,110,50,49,34393,FALSE,10,0.4,4,2,2,TRUE,3,0,"","","","",1,"",FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,"",FALSE,FALSE,TRUE,FALSE,TRUE,"FAIL (e) - flanked predominantly by unannotated / hypothetical genes","gene 50/110; 49 genes and 34,393 bp from nearest contig end; 40% of flanking genes annotated; 2/2 viral-origin neighbours left/right; 3 structural-hallmark and 0 mobile-element neighbours; DRAM-v aux score 1 flags ''",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"vOTU0010","FCH3CGLCCXYL4FAA_NODE_2_72","FCH3CGLCCXYL4FAA_NODE_2",84238,"DRAM-v","K01494","dCTP deaminase [EC:3.5.4.13] [RN:R02325]",2,"M","dCTP deaminase [EC:3.5.4.13] [RN:R02325]","dCTP deaminase","BS",84238,FALSE,TRUE,TRUE,"Medium-quality","Caudoviricetes","","virulent",TRUE,87,72,15,10421,FALSE,10,0.5,5,1,4,TRUE,0,0,"K01494","dCTP deaminase [EC:3.5.4.13]","YP_008059283.1 dCTP deaminase [Halogranum tailed virus 1]","",2,"M",TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,"M",TRUE,TRUE,TRUE,TRUE,TRUE,"FAIL (f) - competing viral structural annotation on the same ORF","gene 72/87; 15 genes and 10,421 bp from nearest contig end; 50% of flanking genes annotated; 1/4 viral-origin neighbours left/right; 0 structural-hallmark and 0 mobile-element neighbours; DRAM-v aux score 2 flags 'M'",TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE
"vOTU0010","FCH3CGLCCXYL4FAA_NODE_2_78","FCH3CGLCCXYL4FAA_NODE_2",84238,"VIBRANT","K03462","NAMPT; nicotinamide phosphoribosyltransferase [EC:2.4.2.12]",NA,"","NAMPT","NAMPT","BS",84238,FALSE,TRUE,TRUE,"Medium-quality","Caudoviricetes","","virulent",TRUE,87,78,9,4132,TRUE,10,0.6,6,4,2,TRUE,0,0,"K03462","nicotinamide phosphoribosyltransferase [EC:2.4.2.12]","YP_010111353.1 nicotinamide phosphoribosyl transferase [uncultured phage cr111_1]","sp|Q6FDK2|NAMPT_ACIAD Nicotinamide phosphoribosyltransferase; Xh",2,"F",FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,"",FALSE,FALSE,TRUE,FALSE,TRUE,"FAIL (b) - candidate lies at or within 5 kb of a contig boundary","gene 78/87; 9 genes and  4,132 bp from nearest contig end; 60% of flanking genes annotated; 4/2 viral-origin neighbours left/right; 0 structural-hallmark and 0 mobile-element neighbours; DRAM-v aux score 2 flags 'F'",TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
"vOTU0011","TARATASF_NODE_4_109","TARATASF_NODE_4",83849,"DRAM-v","K01520","dUTP pyrophosphatase [EC:3.6.1.23] [RN:R02100]",2,"MF","dUTP pyrophosphatase [EC:3.6.1.23] [RN:R02100]","dUTP pyrophosphatase","DA",83849,TRUE,TRUE,FALSE,"High-quality","Caudoviricetes","","virulent",TRUE,112,109,3,1776,TRUE,8,0.125,1,0,1,FALSE,0,0,"K01520","dUTP diphosphatase [EC:3.6.1.23]","YP_009010745.1 dUTPase [Croceibacter phage P2559Y]","",2,"MF",FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,"MF",TRUE,TRUE,FALSE,FALSE,TRUE,"FAIL (b) - candidate lies at or within 5 kb of a contig boundary","gene 109/112; 3 genes and  1,776 bp from nearest contig end; 12% of flanking genes annotated; 0/1 viral-origin neighbours left/right; 0 structural-hallmark and 0 mobile-element neighbours; DRAM-v aux score 2 flags 'MF'",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"vOTU0011","TARATASF_NODE_4_62","TARATASF_NODE_4",83849,"VIBRANT","K00558","DNMT1, dcm; DNA (cytosine-5)-methyltransferase 1 [EC:2.1.1.37]",NA,"","dcm","dcm","DA",83849,TRUE,TRUE,FALSE,"High-quality","Caudoviricetes","","virulent",TRUE,112,62,50,34932,FALSE,10,0.4,4,2,2,TRUE,3,0,"","","","",1,"",FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,"",FALSE,FALSE,TRUE,FALSE,TRUE,"FAIL (e) - flanked predominantly by unannotated / hypothetical genes","gene 62/112; 50 genes and 34,932 bp from nearest contig end; 40% of flanking genes annotated; 2/2 viral-origin neighbours left/right; 3 structural-hallmark and 0 mobile-element neighbours; DRAM-v aux score 1 flags ''",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
