vOTU_id,protein_id,function_assessment,reporting_status,reason,evidence_sources,assessment_date,author_confirmation
vOTU0018,TARATASF_NODE_16_52,PAPS-reductase-family similarity; canonical CysH activity not established,Not retained as evidence for a sulfur-metabolism AMG,The partial PF01507 match and structural similarity do not establish sulfur reduction; the archived catalytic-site comparison and conflicting functional annotations weaken the specific CysH assignment. This assessment applies only to this ORF.,data/00-raw/d04-amg-curation/targeted_domain_scan_hmmer.csv; data/00-raw/d04-amg-curation/targeted_cysH_catalytic_focus.csv; data/00-raw/d04-amg-curation/targeted_tmalign_results.csv; data/00-raw/d04-amg-curation/targeted_annotation_hits.csv,2026-09-24,Not recorded
vOTU0027,FCH3CGLCCXYL4FAA_NODE_14_9,DHFR-family assignment supported by sequence and predicted structure,Retain as a function-supported computational candidate,"PF00186, the conserved catalytic Asp and the actual-query structural comparison support DHFR identity. The archived PHROG tail label has anomalous hit/coverage information and is not treated as a verified functional conflict pending provenance checks. Enzymatic activity and an auxiliary role were not measured.",data/00-raw/d04-amg-curation/targeted_domain_scan_hmmer.csv; data/00-raw/d04-amg-curation/targeted_catalytic_residue_assessment.csv; data/00-raw/d04-amg-curation/targeted_tmalign_results.csv; data/00-raw/d04-amg-curation/targeted_annotation_hits.csv,2026-09-24,Not recorded
vOTU0018,TARATASF_NODE_16_18,Tail-associated peptidase interpretation favored over the mec sulfur-function assignment,Not retained as evidence for a sulfur-metabolism AMG,"Original tail-related annotations and genomic context conflict with mec. The Prok-JAB plus NlpC/P60 scan was performed on RefSeq proxy YP_009909783.1, not on the candidate sequence, which was unavailable in the archived query FASTA.",data/00-raw/d04-amg-curation/targeted_mec_control_assignments.csv; data/00-raw/d04-amg-curation/targeted_mec_proxy_pfam_scan.csv; data/00-raw/d04-amg-curation/targeted_context_assessment.csv,2026-09-24,Not recorded
vOTU0065,FCH3CGLCCXYL4FAA_NODE_52_18,C5-cytosine DNA methyltransferase-family assignment supported; DNMT3A-specific identity unresolved,Retain the family-level candidate; preserve the original automated label,PF00145 and conserved PCQ/ENV motifs support a C5-cytosine DNA methyltransferase-family interpretation; DNMT3A-specific identity and biological role remain unresolved. Preserve the original K17398/K00558 disagreement.,data/00-raw/d04-amg-curation/additional_axisB_family_assignment.csv; data/00-raw/d04-amg-curation/additional_axisC_function_summary.csv; data/00-raw/d04-amg-curation/additional_axisC_catalytic_residues.csv; data/00-raw/d04-amg-curation/additional_candidate_orfs.csv,2026-09-24,Not recorded
vOTU0080,FCH3CGLCCXYL4FAA_NODE_69_26,C5-cytosine DNA methyltransferase-family assignment supported; DNMT3A-specific identity unresolved,Retain the family-level candidate; preserve the original automated label,PF00145 and conserved PCQ/ENV motifs support a C5-cytosine DNA methyltransferase-family interpretation; DNMT3A-specific identity and biological role remain unresolved. This predicted ORF is at the contig terminus.,data/00-raw/d04-amg-curation/additional_axisB_family_assignment.csv; data/00-raw/d04-amg-curation/additional_axisC_function_summary.csv; data/00-raw/d04-amg-curation/additional_axisC_catalytic_residues.csv; data/00-raw/d04-amg-curation/additional_candidate_orfs.csv,2026-09-24,Not recorded
vOTU0030,TARATASF_NODE_29_11,C5-cytosine DNA methyltransferase-family assignment supported; DNMT3A-specific identity unresolved,Retain the family-level candidate; preserve the original automated label,PF00145 and conserved PCQ/ENV motifs support a C5-cytosine DNA methyltransferase-family interpretation; DNMT3A-specific identity and biological role remain unresolved.,data/00-raw/d04-amg-curation/additional_axisB_family_assignment.csv; data/00-raw/d04-amg-curation/additional_axisC_function_summary.csv; data/00-raw/d04-amg-curation/additional_axisC_catalytic_residues.csv; data/00-raw/d04-amg-curation/additional_candidate_orfs.csv,2026-09-24,Not recorded
vOTU0239,FCH3CGLCCXYL4FAA_NODE_227_12,RNR-family assignment and catalytic-function hypothesis supported by sequence,Retain as a function-supported computational candidate,"A strong PF02867 match and conserved catalytic features support an RNR-family interpretation. Activity, class-specific details and the in-infection auxiliary role were not experimentally established; no query structural comparison is available.",data/00-raw/d04-amg-curation/additional_axisB_family_assignment.csv; data/00-raw/d04-amg-curation/additional_axisC_function_summary.csv; data/00-raw/d04-amg-curation/additional_axisC_catalytic_residues.csv; data/00-raw/d04-amg-curation/additional_candidate_orfs.csv,2026-09-24,Not recorded
vOTU0047,FCH3CGLCCXYL4FAA_NODE_34_16,RNR-family assignment and catalytic-function hypothesis supported by sequence,Retain as a function-supported computational candidate,"A strong PF02867 match and conserved catalytic features support an RNR-family interpretation. Activity, class-specific details and the in-infection auxiliary role were not experimentally established; no query structural comparison is available.",data/00-raw/d04-amg-curation/additional_axisB_family_assignment.csv; data/00-raw/d04-amg-curation/additional_axisC_function_summary.csv; data/00-raw/d04-amg-curation/additional_axisC_catalytic_residues.csv; data/00-raw/d04-amg-curation/additional_candidate_orfs.csv,2026-09-24,Not recorded
vOTU0359,FCH3CGLCCXYL4FAA_NODE_354_7,RNR-family assignment and catalytic-function hypothesis supported by sequence,Retain as a function-supported computational candidate,"A strong PF02867 match and conserved catalytic features support an RNR-family interpretation. Activity, class-specific details and the in-infection auxiliary role were not experimentally established; no query structural comparison is available.",data/00-raw/d04-amg-curation/additional_axisB_family_assignment.csv; data/00-raw/d04-amg-curation/additional_axisC_function_summary.csv; data/00-raw/d04-amg-curation/additional_axisC_catalytic_residues.csv; data/00-raw/d04-amg-curation/additional_candidate_orfs.csv,2026-09-24,Not recorded
vOTU0014,FCH3CGLCCXYL4FAA_NODE_4_40,RNR-family assignment and catalytic-function hypothesis supported by sequence,Retain as a function-supported computational candidate,"A strong PF02867 match and conserved catalytic features support an RNR-family interpretation. Activity, class-specific details and the in-infection auxiliary role were not experimentally established; no query structural comparison is available.",data/00-raw/d04-amg-curation/additional_axisB_family_assignment.csv; data/00-raw/d04-amg-curation/additional_axisC_function_summary.csv; data/00-raw/d04-amg-curation/additional_axisC_catalytic_residues.csv; data/00-raw/d04-amg-curation/additional_candidate_orfs.csv,2026-09-24,Not recorded
vOTU0641,FCH3CGLCCXYL4FAA_NODE_682_2,RNR-family assignment and catalytic-function hypothesis supported by sequence,Retain as a function-supported computational candidate,"A strong PF02867 match and conserved catalytic features support an RNR-family interpretation. Activity, class-specific details and the in-infection auxiliary role were not experimentally established; no query structural comparison is available.",data/00-raw/d04-amg-curation/additional_axisB_family_assignment.csv; data/00-raw/d04-amg-curation/additional_axisC_function_summary.csv; data/00-raw/d04-amg-curation/additional_axisC_catalytic_residues.csv; data/00-raw/d04-amg-curation/additional_candidate_orfs.csv,2026-09-24,Not recorded
vOTU0666,FCH3CGLCCXYL4FAA_NODE_712_8,RNR-family assignment and catalytic-function hypothesis supported by sequence,Retain as a function-supported computational candidate,"A strong PF02867 match and conserved catalytic features support an RNR-family interpretation. Activity, class-specific details and the in-infection auxiliary role were not experimentally established; no query structural comparison is available.",data/00-raw/d04-amg-curation/additional_axisB_family_assignment.csv; data/00-raw/d04-amg-curation/additional_axisC_function_summary.csv; data/00-raw/d04-amg-curation/additional_axisC_catalytic_residues.csv; data/00-raw/d04-amg-curation/additional_candidate_orfs.csv,2026-09-24,Not recorded
vOTU0805,FCH3CGLCCXYL4FAA_NODE_874_7,RNR-family assignment supported; specific catalytic mechanism unresolved,Retain as an unresolved RNR-family candidate,"PF02867 strongly supports the RNR family, but several expected residues are uncertain or absent in the archived class Ia reference mapping. Divergence, subclass differences and alignment uncertainty prevent an inactivity claim. No query structure was obtained.",data/00-raw/d04-amg-curation/additional_axisB_family_assignment.csv; data/00-raw/d04-amg-curation/additional_axisC_function_summary.csv; data/00-raw/d04-amg-curation/additional_axisC_catalytic_residues.csv; data/00-raw/d04-amg-curation/additional_candidate_orfs.csv,2026-09-24,Not recorded
vOTU0020,FCH3CGLCCXYL4FAA_NODE_8_6,RNR-family assignment and catalytic-function hypothesis supported by sequence,Retain as a function-supported computational candidate,"A strong PF02867 match and conserved catalytic features support an RNR-family interpretation. Activity, class-specific details and the in-infection auxiliary role were not experimentally established; no query structural comparison is available.",data/00-raw/d04-amg-curation/additional_axisB_family_assignment.csv; data/00-raw/d04-amg-curation/additional_axisC_function_summary.csv; data/00-raw/d04-amg-curation/additional_axisC_catalytic_residues.csv; data/00-raw/d04-amg-curation/additional_candidate_orfs.csv,2026-09-24,Not recorded
vOTU0840,FCH3CGLCCXYL4FAA_NODE_919_3,RNR-family assignment and catalytic-function hypothesis supported by sequence,Retain as a function-supported computational candidate,Near-full-length similarity to E. coli NrdA and conserved key positions provide particularly strong support for a class I RNR-like assignment. Activity and the in-infection auxiliary role were not measured; no query structural comparison is available.,data/00-raw/d04-amg-curation/additional_axisB_family_assignment.csv; data/00-raw/d04-amg-curation/additional_axisC_function_summary.csv; data/00-raw/d04-amg-curation/additional_axisC_catalytic_residues.csv; data/00-raw/d04-amg-curation/additional_candidate_orfs.csv,2026-09-24,Not recorded
vOTU0342,FCH3CGLCCXYL2DAA_NODE_147_6,Phosphopantetheine carrier-protein assignment supported; pathway specificity unresolved,Retain as a computational candidate with genomic-context limitations,PF00550 and the conserved phosphopantetheine-attachment serine support a carrier-protein interpretation. Fatty-acid ACP specificity and the viral genomic context remain limited; an auxiliary role was not established.,data/00-raw/d04-amg-curation/additional_axisB_family_assignment.csv; data/00-raw/d04-amg-curation/additional_axisC_function_summary.csv; data/00-raw/d04-amg-curation/additional_axisC_catalytic_residues.csv; data/00-raw/d04-amg-curation/additional_candidate_orfs.csv,2026-09-24,Not recorded
vOTU0354,FCH3CGLCCXYL4FAA_NODE_349_2,Phosphopantetheine carrier-protein assignment supported; pathway specificity unresolved,Retain as a computational candidate with genomic-context limitations,"PF00550 and the conserved phosphopantetheine-attachment serine support a carrier-protein interpretation. Fatty-acid ACP specificity and the viral genomic context remain limited; an auxiliary role was not established. A matching query PDB and archived structure-summary values are available, but the original TM-align log/reference structure was not located in this review.",data/00-raw/d04-amg-curation/additional_axisB_family_assignment.csv; data/00-raw/d04-amg-curation/additional_axisC_function_summary.csv; data/00-raw/d04-amg-curation/additional_axisC_catalytic_residues.csv; data/00-raw/d04-amg-curation/additional_candidate_orfs.csv,2026-09-24,Not recorded
vOTU0199,FCH3CGLCCXYL4FAA_NODE_182_13,RmlA-like nucleotidyltransferase assignment supported by sequence and residues,Retain as a function-supported computational candidate,"PF00483, substantial reference similarity and conserved key residues support an RmlA-like interpretation. The query PDB matches its FASTA; archived structure-summary values lack the original comparison log in this review. Host versus viral glycan use is unresolved.",data/00-raw/d04-amg-curation/additional_axisB_family_assignment.csv; data/00-raw/d04-amg-curation/additional_axisC_function_summary.csv; data/00-raw/d04-amg-curation/additional_axisC_catalytic_residues.csv; data/00-raw/d04-amg-curation/additional_candidate_orfs.csv,2026-09-24,Not recorded
vOTU0734,TARATASF_NODE_410_3,Nucleotidyltransferase-family similarity; specific RmlA activity unresolved,Retain as an unresolved family-level candidate,"The partial PF00483 match supports broad family similarity, but low-identity residue projections and uncertain substrate-specific features do not establish RmlA activity. They also do not prove inactivity or establish whether neighboring ORFs are split-gene products or paralogs.",data/00-raw/d04-amg-curation/additional_axisB_family_assignment.csv; data/00-raw/d04-amg-curation/additional_axisC_function_summary.csv; data/00-raw/d04-amg-curation/additional_axisC_catalytic_residues.csv; data/00-raw/d04-amg-curation/additional_candidate_orfs.csv,2026-09-24,Not recorded
vOTU0734,TARATASF_NODE_410_4,Nucleotidyltransferase-family similarity; specific RmlA activity unresolved,Retain as an unresolved family-level candidate,"The partial PF00483 match supports broad family similarity, but low-identity residue projections and uncertain substrate-specific features do not establish RmlA activity. They also do not prove inactivity or establish whether neighboring ORFs are split-gene products or paralogs.",data/00-raw/d04-amg-curation/additional_axisB_family_assignment.csv; data/00-raw/d04-amg-curation/additional_axisC_function_summary.csv; data/00-raw/d04-amg-curation/additional_axisC_catalytic_residues.csv; data/00-raw/d04-amg-curation/additional_candidate_orfs.csv,2026-09-24,Not recorded
