gene_set,query_tip,rooting,ancestor_level,n_other_tips,support_shalrt_ufboot,clade_composition,member_tips,nearest_characterised_reference,nearest_characterised_distance,tree_file
cysH,QUERY_TARATASF_NODE_16_52,midpoint,1,1,-,viral reviewed reference=1,P03766,P17854,2.9821,trees/cysH/cysH.contree
cysH,QUERY_TARATASF_NODE_16_52,midpoint,2,2,100,viral reviewed reference=2,P41062;P03766,P17854,2.9821,trees/cysH/cysH.contree
cysH,QUERY_TARATASF_NODE_16_52,midpoint,3,10,73,DUF3440 family (PF11922)=8;viral reviewed reference=2,P77216;A0A0H3JCP3;A0A0H2V775;A0A0H3GLB6;A0A0X4ETH7;A0A0C3NK63;A0A0X8JKW4;A0A0R2FSD7;P41062;P03766,P17854,2.9821,trees/cysH/cysH.contree
folA,QUERY_FCH3CGLCCXYL4FAA_NODE_14_9,midpoint,1,3,-,reviewed cellular reference=3,P78218;P00382;P11731,P0ABQ4,2.2468,trees/folA/folA.contree
folA,QUERY_FCH3CGLCCXYL4FAA_NODE_14_9,midpoint,2,7,87,characterised reference (experimental evidence)=1;reviewed cellular reference=6,P0ABQ4;P31074;Q8K9Z8;Q89AV2;P78218;P00382;P11731,P0ABQ4,2.2468,trees/folA/folA.contree
folA,QUERY_FCH3CGLCCXYL4FAA_NODE_14_9,midpoint,3,23,72,characterised reference (experimental evidence)=3;reviewed cellular reference=19;viral homologue (RefSeq/GenBank)=1,P0A017;Q6G9D5;P13955;P0C0P0;Q54277;P11045;P00381;Q59487;Q54801;P78028;Q60034;YP_010657315.1;Q9UWQ4;P15093;Q5V3R2;Q5V600;P0ABQ4;P31074;Q8K9Z8;Q89AV2;P78218;P00382;P11731,P0ABQ4,2.2468,trees/folA/folA.contree
