gene,ko,ko_description,protein_id,vOTU_id,contig_id,contig_length_bp,sources,gene_position,start_position,end_position,strand,nt_span_bp,expected_aa_from_coords,observed_aa_length,length_consistent_with_coords,sequence_available,sequence_source_file,sequence_header_in_source,starts_with_M,internal_stop,ambiguous_residues,orf_record_in_anno_prot_dramv,dramv_virsorter_category,dramv_auxiliary_score,dramv_is_transposon,dramv_amg_flags,access_utc
DNMT3A,K17398,DNMT3A; DNA (cytosine-5)-methyltransferase 3A [EC:2.1.1.37],FCH3CGLCCXYL4FAA_NODE_52_18,vOTU0065,FCH3CGLCCXYL4FAA_NODE_52,21810,vibrant,18,11928,12911,-1,984,327,327,True,True,Data/protein/DNMT3A/all protein100.fasta,FCH3CGLCCXYL4FAA_NODE_52_18,True,False,0,True,1,3,0,M,2026-09-08T10:43:23+00:00
DNMT3A,K17398,DNMT3A; DNA (cytosine-5)-methyltransferase 3A [EC:2.1.1.37],FCH3CGLCCXYL4FAA_NODE_69_26,vOTU0080,FCH3CGLCCXYL4FAA_NODE_69,19099,vibrant,26,17944,19098,-1,1155,384,384,True,True,Data/protein/DNMT3A/all protein100.fasta,FCH3CGLCCXYL4FAA_NODE_69_26,False,False,0,True,1,5,0,F,2026-09-08T10:43:23+00:00
DNMT3A,K17398,DNMT3A; DNA (cytosine-5)-methyltransferase 3A [EC:2.1.1.37],TARATASF_NODE_29_11,vOTU0030,TARATASF_NODE_29,39950,vibrant,11,7689,8864,1,1176,391,391,True,True,Data/protein/DNMT3A/all protein100.fasta,TARATASF_NODE_29_11,True,False,0,True,1,2,0,,2026-09-08T10:43:23+00:00
RNR,K00525,ribonucleoside-diphosphate reductase [EC:1.17.4.1] [RN:R02024],FCH3CGLCCXYL4FAA_NODE_227_12,vOTU0239,FCH3CGLCCXYL4FAA_NODE_227,10864,dramv,12,8857,10617,-1,1761,586,586,True,True,Data/protein/RNR/cunli_dramv.faa,FCH3CGLCCXYL4FAA_NODE_227-cat_1_12,True,False,0,True,1,2,0,MKEF,2026-09-08T10:43:23+00:00
RNR,K00525,ribonucleoside-diphosphate reductase [EC:1.17.4.1] [RN:R02024],FCH3CGLCCXYL4FAA_NODE_34_16,vOTU0047,FCH3CGLCCXYL4FAA_NODE_34,30723,dramv,16,21646,23577,1,1932,643,643,True,True,Data/protein/RNR/cunli_dramv.faa,FCH3CGLCCXYL4FAA_NODE_34-cat_1_16,True,False,0,True,1,2,0,MKE,2026-09-08T10:43:23+00:00
RNR,K00525,ribonucleoside-diphosphate reductase [EC:1.17.4.1] [RN:R02024],FCH3CGLCCXYL4FAA_NODE_354_7,vOTU0359,FCH3CGLCCXYL4FAA_NODE_354,8654,dramv,7,3268,5052,-1,1785,594,594,True,True,Data/protein/RNR/cunli_dramv.faa,FCH3CGLCCXYL4FAA_NODE_354-cat_2_7,True,False,0,True,1,3,0,MKEF,2026-09-08T10:43:23+00:00
RNR,K00525,ribonucleoside-diphosphate reductase [EC:1.17.4.1] [RN:R02024],FCH3CGLCCXYL4FAA_NODE_4_40,vOTU0014,FCH3CGLCCXYL4FAA_NODE_4,55150,dramv,40,44184,45914,-1,1731,576,576,True,True,Data/protein/RNR/cunli_dramv.faa,FCH3CGLCCXYL4FAA_NODE_4-cat_1_40,True,False,0,True,1,2,0,MKE,2026-09-08T10:43:23+00:00
RNR,K00525,ribonucleoside-diphosphate reductase [EC:1.17.4.1] [RN:R02024],FCH3CGLCCXYL4FAA_NODE_682_2,vOTU0641,FCH3CGLCCXYL4FAA_NODE_682,6198,dramv,2,247,2004,-1,1758,585,585,True,True,Data/protein/RNR/cunli_dramv.faa,FCH3CGLCCXYL4FAA_NODE_682-cat_2_2,True,False,0,True,1,3,0,MKEF,2026-09-08T10:43:23+00:00
RNR,K00525,ribonucleoside-diphosphate reductase [EC:1.17.4.1] [RN:R02024],FCH3CGLCCXYL4FAA_NODE_712_8,vOTU0666,FCH3CGLCCXYL4FAA_NODE_712,6064,dramv,8,3082,4836,-1,1755,584,584,True,True,Data/protein/RNR/cunli_dramv.faa,FCH3CGLCCXYL4FAA_NODE_712-cat_2_8,True,False,0,True,1,3,0,MKEF,2026-09-08T10:43:23+00:00
RNR,K00525,ribonucleoside-diphosphate reductase [EC:1.17.4.1] [RN:R02024],FCH3CGLCCXYL4FAA_NODE_874_7,vOTU0805,FCH3CGLCCXYL4FAA_NODE_874,5519,dramv,7,3282,5012,1,1731,576,576,True,True,Data/protein/RNR/cunli_dramv.faa,FCH3CGLCCXYL4FAA_NODE_874-cat_2_7,True,False,0,True,1,3,0,MKEF,2026-09-08T10:43:23+00:00
