vOTU_id,reference_accession,qlen,slen,ani,af_query,af_target,representative_length_bp,checkv_quality,in_primary_962
vOTU0002,MT141479.1,9763,27425,98.49,94.07,33.03,9763,Low-quality,TRUE
vOTU0005,MT141479.1,5132,27425,98.62,87.3,16.32,5132,Low-quality,TRUE
vOTU0154,MT144629.1,13937,26937,99.78,91.48,47.34,13937,Low-quality,TRUE
vOTU0180,MT143973.1,12866,56417,100,100,22.81,12866,Low-quality,TRUE
vOTU0189,MT143973.1,12366,56417,100,100,21.92,12366,Low-quality,TRUE
vOTU0220,MT144091.1,11425,14852,100,99.76,76.74,11425,Not-determined,TRUE
vOTU0443,MT143973.1,7901,56417,100,100,14,7901,Low-quality,TRUE
vOTU0774,MT143893.1,5597,43525,99.62,99.84,12.84,5597,Low-quality,TRUE
vOTU0825,MT144653.1,5471,21334,100,100,25.64,5471,Low-quality,TRUE
