gene,tree_file,protein_id,tree_label,support_on_subtending_branch,support_parent_clade,n_tips_parent_clade,support_grandparent_clade,n_tips_grandparent_clade,support_greatgrandparent,parent_is_root,sister_n_tips,sister_tips,sister_tips_list_truncated,sister_top_organisms,sister_top_descriptions,other_study_orfs_in_parent_clade,nearest_ref_clade_support,nearest_ref_clade_ntips,nearest_ref_clade_nrefs,nearest_ref_clade_refs,steps_to_ref_clade,path_supports,terminal_branch_length,terminal_branch_at_iqtree_max,sister_identical_between_aligners,sister_jaccard_between_aligners,nearest_ref_clade_jaccard_between_aligners,meaningful_support
rfbA,mafft_iqtree_rfbA_iqtree.nwk,FCH3CGLCCXYL4FAA_NODE_182_13,FCH3CGLCCXYL4FAA_NODE_182_13,not defined - ORF attaches directly to the basal trifurcation of the stored newick; no clade in the file groups it with any subset of references,,1007,,0,,True,1006,"ADC54924.1;AGG32824.1;AKD24597.1;AMX04421.1;AXY99827.1;BAP89318.1;BDX20928.1;BEI32921.1;BEI36565.1;BEI38296.1;BEI40352.1;BEI42134.1;BFR60738.1;CAN1503400.1;ECI3443351.1;EER9850122.1;EEV6401264.1;EEW2009139.1;EFA6033067.1;EFB4439821.1 [showing 20 of 1006, alphabetical]",True,Escherichia coli (n=188); Pseudomonadota bacterium (n=25); Polynucleobacter paneuropaeus (n=18); Polynucleobacter sp. (n=17),glucose-1-phosphate thymidylyltransferase RfbA (n=860); MULTISPECIES: glucose-1-phosphate thymidylyltransferase RfbA (n=69); glucose-1-phosphate thymidylyltransferase (n=21),TARATASF_NODE_410_3;TARATASF_NODE_410_4,,1007,1004,glucose-1-phosphate thymidylyltransferase RfbA (n=860); MULTISPECIES: glucose-1-phosphate thymidylyltransferase RfbA (n=69); glucose-1-phosphate thymidylyltransferase (n=21),1,root,0.2779,False,False,0.001,0.002,False
rfbA,mafft_iqtree_rfbA_iqtree.nwk,TARATASF_NODE_410_3,TARATASF_NODE_410_3,"100 (smallest clade containing the ORF, 2 tips)",100.0,2,33.0,4,34.0,False,1,TARATASF_NODE_410_4,False,no-organism-field (n=1),no description (study ORF) (n=1),TARATASF_NODE_410_4,33.0,4,2,glucose-1-phosphate thymidylyltransferase RfbA (n=2),2,100;33,10.0,True,True,1.0,0.4,False
rfbA,mafft_iqtree_rfbA_iqtree.nwk,TARATASF_NODE_410_4,TARATASF_NODE_410_4,"100 (smallest clade containing the ORF, 2 tips)",100.0,2,33.0,4,34.0,False,1,TARATASF_NODE_410_3,False,no-organism-field (n=1),no description (study ORF) (n=1),TARATASF_NODE_410_3,33.0,4,2,glucose-1-phosphate thymidylyltransferase RfbA (n=2),2,100;33,10.0,True,True,1.0,0.4,False
rfbA,muscle_iqtree_rfbA_iqtree.nwk,FCH3CGLCCXYL4FAA_NODE_182_13,FCH3CGLCCXYL4FAA_NODE_182_13,"100 (smallest clade containing the ORF, 2 tips)",100.0,2,57.0,131,79.0,False,1,HBT92675.1,False,Chitinophagaceae bacterium (n=1),glucose-1-phosphate thymidylyltransferase (n=1),,100.0,2,1,glucose-1-phosphate thymidylyltransferase (n=1),1,100,0.268,False,False,0.001,0.002,True
rfbA,muscle_iqtree_rfbA_iqtree.nwk,TARATASF_NODE_410_3,TARATASF_NODE_410_3,"100 (smallest clade containing the ORF, 2 tips)",100.0,2,31.0,3,81.0,False,1,TARATASF_NODE_410_4,False,no-organism-field (n=1),no description (study ORF) (n=1),TARATASF_NODE_410_4,31.0,3,1,glucose-1-phosphate thymidylyltransferase RfbA (n=1),2,100;31,10.0,True,True,1.0,0.4,False
rfbA,muscle_iqtree_rfbA_iqtree.nwk,TARATASF_NODE_410_4,TARATASF_NODE_410_4,"100 (smallest clade containing the ORF, 2 tips)",100.0,2,31.0,3,81.0,False,1,TARATASF_NODE_410_3,False,no-organism-field (n=1),no description (study ORF) (n=1),TARATASF_NODE_410_3,31.0,3,1,glucose-1-phosphate thymidylyltransferase RfbA (n=1),2,100;31,10.0,True,True,1.0,0.4,False
RNR,mafft_iqtree_RNR_iqtree.nwk,FCH3CGLCCXYL4FAA_NODE_4_40,FCH3CGLCCXYL4FAA_NODE_4-cat_1_40,not defined - ORF attaches directly to the basal trifurcation of the stored newick; no clade in the file groups it with any subset of references,,1011,,0,,True,1010,"AAC23305.1;ADY95536.1;ADY97449.1;ADY99747.1;AET72769.1;AFK66331.1;AGF91424.1;AGG54423.1;AGH56691.1;AGH57374.1;AGV12127.1;AHB80807.1;AHW75946.1;AIX14353.1;AIX14568.1;AIX14993.1;AIX16720.1;AIX18498.1;AIX22940.1;AIX27550.1 [showing 20 of 1010, alphabetical]",True,Haemophilus influenzae (n=122); Neisseria meningitidis (n=111); Haemophilus haemolyticus (n=43); Gallibacterium anatis (n=28),class 1a ribonucleoside-diphosphate reductase subunit alpha (n=625); ribonucleoside-diphosphate reductase subunit alpha (n=115); ribonucleotide reductase large subunit (n=59),FCH3CGLCCXYL4FAA_NODE_1681-cat_2_3;FCH3CGLCCXYL4FAA_NODE_227-cat_1_12;FCH3CGLCCXYL4FAA_NODE_2930-cat_2_2;FCH3CGLCCXYL4FAA_NODE_34-cat_1_16;FCH3CGLCCXYL4FAA_NODE_354-cat_2_7;FCH3CGLCCXYL4FAA_NODE_682-cat_2_2;FCH3CGLCCXYL4FAA_NODE_712-cat_2_8;FCH3CGLCCXYL4FAA_NODE_8-cat_1_6;FCH3CGLCCXYL4FAA_NODE_874-cat_2_7;FCH3CGLCCXYL4FAA_NODE_919-cat_2_3,,1011,1000,class 1a ribonucleoside-diphosphate reductase subunit alpha (n=625); ribonucleoside-diphosphate reductase subunit alpha (n=115); ribonucleotide reductase large subunit (n=59),1,root,0.1444,False,False,0.001,0.011,False
RNR,mafft_iqtree_RNR_iqtree.nwk,FCH3CGLCCXYL4FAA_NODE_8_6,FCH3CGLCCXYL4FAA_NODE_8-cat_1_6,"100 (smallest clade containing the ORF, 2 tips)",100.0,2,100.0,1009,,False,1,FCH3CGLCCXYL4FAA_NODE_34-cat_1_16,False,no-organism-field (n=1),no description (study ORF) (n=1),FCH3CGLCCXYL4FAA_NODE_34-cat_1_16,100.0,1009,1000,class 1a ribonucleoside-diphosphate reductase subunit alpha (n=625); ribonucleoside-diphosphate reductase subunit alpha (n=115); ribonucleotide reductase large subunit (n=59),2,100;100,3.8411,False,True,1.0,0.009,False
RNR,mafft_iqtree_RNR_iqtree.nwk,FCH3CGLCCXYL4FAA_NODE_34_16,FCH3CGLCCXYL4FAA_NODE_34-cat_1_16,"100 (smallest clade containing the ORF, 2 tips)",100.0,2,100.0,1009,,False,1,FCH3CGLCCXYL4FAA_NODE_8-cat_1_6,False,no-organism-field (n=1),no description (study ORF) (n=1),FCH3CGLCCXYL4FAA_NODE_8-cat_1_6,100.0,1009,1000,class 1a ribonucleoside-diphosphate reductase subunit alpha (n=625); ribonucleoside-diphosphate reductase subunit alpha (n=115); ribonucleotide reductase large subunit (n=59),2,100;100,3.2185,False,True,1.0,0.009,False
RNR,mafft_iqtree_RNR_iqtree.nwk,FCH3CGLCCXYL4FAA_NODE_227_12,FCH3CGLCCXYL4FAA_NODE_227-cat_1_12,"91 (smallest clade containing the ORF, 3 tips)",91.0,3,100.0,5,99.0,False,2,FCH3CGLCCXYL4FAA_NODE_682-cat_2_2;FCH3CGLCCXYL4FAA_NODE_712-cat_2_8,False,no-organism-field (n=2),no description (study ORF) (n=2),FCH3CGLCCXYL4FAA_NODE_682-cat_2_2;FCH3CGLCCXYL4FAA_NODE_712-cat_2_8,99.0,1007,1000,class 1a ribonucleoside-diphosphate reductase subunit alpha (n=625); ribonucleoside-diphosphate reductase subunit alpha (n=115); ribonucleotide reductase large subunit (n=59),3,91;100;99,0.925,False,True,1.0,0.007,False
