reference_accession,reference_contig,current_votu_ids,matched_current_representatives,sample,contig_coverage_percent,present_gt75pct,reference_contig_length_bp,relative_abundance_bp_per_kb_per_Mb,current_reference_ani_min
MT143893,MM171B00144,vOTU0774,1,MM-171.3_1,100.0,True,43525,29.505623575557983,99.62
MT143893,MM171B00144,vOTU0774,1,MM-171.3_2,100.0,True,43525,30.501494238690395,99.62
MT143893,MM171B00144,vOTU0774,1,MM-415.2_1,59.79092475588742,False,43525,0.10743222790267405,99.62
MT143893,MM171B00144,vOTU0774,1,MM-415.2_2,62.19184376794945,False,43525,0.09090036191369662,99.62
MT143893,MM171B00144,vOTU0774,1,TM-448.4_1,95.93337162550259,True,43525,1.0094153728289412,99.62
MT143893,MM171B00144,vOTU0774,1,TM-448.4_2,91.99770246984492,True,43525,0.7238277968787121,99.62
MT141479,MM415B00738,vOTU0002;vOTU0005,2,MM-171.3_1,99.98541476754785,True,27425,26.646998002131994,98.49
MT141479,MM415B00738,vOTU0002;vOTU0005,2,MM-171.3_2,100.0,True,27425,29.478226365534525,98.49
MT141479,MM415B00738,vOTU0002;vOTU0005,2,MM-415.2_1,99.96353691886965,True,27425,7.669961358441327,98.49
MT141479,MM415B00738,vOTU0002;vOTU0005,2,MM-415.2_2,99.99635369188697,True,27425,6.1063436119707895,98.49
MT141479,MM415B00738,vOTU0002;vOTU0005,2,TM-448.4_1,99.91248860528714,True,27425,5.832085798500348,98.49
MT141479,MM415B00738,vOTU0002;vOTU0005,2,TM-448.4_2,99.98541476754785,True,27425,4.813934078356903,98.49
MT143973,TM448A00087,vOTU0180;vOTU0189;vOTU0443,3,MM-171.3_1,26.493787333605116,False,56417,0.029294787110130553,100.0
MT143973,TM448A00087,vOTU0180;vOTU0189;vOTU0443,3,MM-171.3_2,42.21954375454207,False,56417,0.061309653395955836,100.0
MT143973,TM448A00087,vOTU0180;vOTU0189;vOTU0443,3,MM-415.2_1,100.0,True,56417,10.341945181893044,100.0
MT143973,TM448A00087,vOTU0180;vOTU0189;vOTU0443,3,MM-415.2_2,100.0,True,56417,8.682443172440856,100.0
MT143973,TM448A00087,vOTU0180;vOTU0189;vOTU0443,3,TM-448.4_1,100.0,True,56417,3.2520809135582205,100.0
MT143973,TM448A00087,vOTU0180;vOTU0189;vOTU0443,3,TM-448.4_2,100.0,True,56417,2.6987542693268174,100.0
MT144091,TM448A01029,vOTU0220,1,MM-171.3_1,99.0640991112308,True,14852,0.42726682452805953,100.0
MT144091,TM448A01029,vOTU0220,1,MM-171.3_2,96.23619714516563,True,14852,0.360813065491621,100.0
MT144091,TM448A01029,vOTU0220,1,MM-415.2_1,82.15728521411258,True,14852,0.20161582919931328,100.0
MT144091,TM448A01029,vOTU0220,1,MM-415.2_2,82.76326420684083,True,14852,0.144976786563516,100.0
MT144091,TM448A01029,vOTU0220,1,TM-448.4_1,100.0,True,14852,2.4862761834210887,100.0
MT144091,TM448A01029,vOTU0220,1,TM-448.4_2,99.60274710476703,True,14852,2.372156767880056,100.0
MT144629,TM448B00537,vOTU0154,1,MM-171.3_1,0.7498979099380034,False,26937,0.00036406400654872,99.78
MT144629,TM448B00537,vOTU0154,1,MM-171.3_2,0.0,False,26937,0,99.78
MT144629,TM448B00537,vOTU0154,1,MM-415.2_1,51.93599881204292,False,26937,0.08076882401000887,99.78
MT144629,TM448B00537,vOTU0154,1,MM-415.2_2,48.72480231651631,False,26937,0.05246510714904207,99.78
MT144629,TM448B00537,vOTU0154,1,TM-448.4_1,99.97030107287375,True,26937,1.6009304999408276,99.78
MT144629,TM448B00537,vOTU0154,1,TM-448.4_2,100.0,True,26937,1.283784706110787,99.78
MT144653,TM448B00745,vOTU0825,1,MM-171.3_1,10.640292490859661,False,21334,0.008712567233101463,100.0
MT144653,TM448B00745,vOTU0825,1,MM-171.3_2,13.79488140995594,False,21334,0.011673412430034674,100.0
MT144653,TM448B00745,vOTU0825,1,MM-415.2_1,100.0,True,21334,3.6039972792595547,100.0
MT144653,TM448B00745,vOTU0825,1,MM-415.2_2,100.0,True,21334,3.331547487055261,100.0
MT144653,TM448B00745,vOTU0825,1,TM-448.4_1,99.91562763663634,True,21334,1.4650378352449005,100.0
MT144653,TM448B00745,vOTU0825,1,TM-448.4_2,100.0,True,21334,1.2711483132677148,100.0
