contig_id	target_id	Ecosystem classification
FCH3CGLCCXYL2DAA_NODE_5	3300004258_____Ga0066486_1000110 (taxid 1001040022)	Environmental;Aquatic;Freshwater;Sediment;Freshwater;
FCH3CGLCCXYL2DAA_NODE_124	3300006790_____Ga0098074_1000418 (taxid 1000026977)	Environmental;Aquatic;Marine;Oceanic;Marine;
FCH3CGLCCXYL2DAA_NODE_131	level0_1 (taxid 1000675921)	
FCH3CGLCCXYL2DAA_NODE_147	3300006910_____Ga0102589_1006220 (taxid 1000271304)	
FCH3CGLCCXYL2DAA_NODE_557	level1_84652 (taxid 1000027721)	
FCH3CGLCCXYL2DAA_NODE_1427	level0_1 (taxid 1000675921)	
FCH3CGLCCXYL2DAA_NODE_1847	level0_1 (taxid 1000675921)	
FCH3CGLCCXYL2DAA_NODE_2278	level2_19307 (taxid 1000252007)	
FCH3CGLCCXYL2EAA_NODE_15	level0_1 (taxid 1000675921)	
FCH3CGLCCXYL2EAA_NODE_16	level0_1 (taxid 1000675921)	
FCH3CGLCCXYL2EAA_NODE_231	3300009149_____Ga0114918_10002418 (taxid 1001039860)	Environmental;Aquatic;Marine;Oceanic;Marine;
FCH3CGLCCXYL2EAA_NODE_1286	3300014613_____Ga0180008_1003724 (taxid 1000831612)	Environmental;Aquatic;Freshwater;Groundwater;Freshwater;
FCH3CGLCCXYL2EAA_NODE_1356	3300006353_____Ga0075370_10000940 (taxid 1000066317)	Host-associated;Plants;Roots;Bulk soil;Host-associated(plants);
FCH3CGLCCXYL4FAA_NODE_28	3300005805_____Ga0079957_1000271 (taxid 1000700770)	Environmental;Aquatic;Freshwater;Lake;Freshwater;
FCH3CGLCCXYL4FAA_NODE_33	3300009152_____Ga0114980_10000224 (taxid 1000771426)	Environmental;Aquatic;Freshwater;Lake;Freshwater;
FCH3CGLCCXYL4FAA_NODE_81	3300009149_____Ga0114918_10017646 (taxid 1000426452)	Environmental;Aquatic;Marine;Oceanic;Marine;
FCH3CGLCCXYL4FAA_NODE_97	level2_14808 (taxid 1000188116)	
FCH3CGLCCXYL4FAA_NODE_202	3300002835_____B570J40625_100014688 (taxid 1000571242)	Environmental;Aquatic;Freshwater;Lentic;Freshwater;
FCH3CGLCCXYL4FAA_NODE_249	level0_1 (taxid 1000675921)	
FCH3CGLCCXYL4FAA_NODE_378	3300005805_____Ga0079957_1010397 (taxid 1000010604)	Environmental;Aquatic;Freshwater;Lake;Freshwater;
FCH3CGLCCXYL4FAA_NODE_526	level1_81217 (taxid 1001184309)	
FCH3CGLCCXYL4FAA_NODE_744	3300018426_____Ga0181566_10018137 (taxid 1000928933)	Environmental;Aquatic;Marine;Intertidal zone;Marine;
FCH3CGLCCXYL4FAA_NODE_767	unclassified (taxid 0)	
FCH3CGLCCXYL4FAA_NODE_1086	3300000101_____DelMOSum2010_c10001417 (taxid 1000383151)	Environmental;Aquatic;Marine;Neritic zone;Marine;
FCH3CGLCCXYL4FAA_NODE_1098	level1_80923 (taxid 1001130581)	
FCH3CGLCCXYL4FAA_NODE_1197	level0_1 (taxid 1000675921)	
FCH3CGLCCXYL4FAA_NODE_1294	3300007541_____Ga0099848_1003858 (taxid 1000684170)	Environmental;Aquatic;Marine;Coastal;Marine;
FCH3CGLCCXYL4FAA_NODE_1455	3300009601_____Ga0114914_1000529 (taxid 1000612965)	Environmental;Aquatic;Marine;Oceanic;Marine;
FCH3CGLCCXYL4FAA_NODE_1478	3300010151_____Ga0098061_1003755 (taxid 1000574865)	Environmental;Aquatic;Marine;Oceanic;Marine;
FCH3CGLCCXYL4FAA_NODE_1540	level0_1 (taxid 1000675921)	
FCH3CGLCCXYL4FAA_NODE_1563	3300009155_____Ga0114968_10006556 (taxid 1001151969)	Environmental;Aquatic;Freshwater;Lake;Freshwater;
FCH3CGLCCXYL4FAA_NODE_1700	3300011435_____Ga0137426_1000012 (taxid 1000883951)	Environmental;Aquatic;Sediment;Unclassified;Aquatic(sediment);
FCH3CGLCCXYL2DAA_NODE_51	3300006865_____Ga0073934_10001873 (taxid 1000445551)	Environmental;Aquatic;Thermal springs;Sediment;Aquatic(sediment);
FCH3CGLCCXYL2DAA_NODE_77	level0_1 (taxid 1000675921)	
FCH3CGLCCXYL2DAA_NODE_118	3300002460_____C687J35021_10003855 (taxid 1000370234)	Environmental;Terrestrial;Soil;Loam;Terrestrial(soil);
FCH3CGLCCXYL2DAA_NODE_138	level0_1 (taxid 1000675921)	
FCH3CGLCCXYL2DAA_NODE_160	3300006033_____Ga0075012_10002156 (taxid 1000892986)	Environmental;Aquatic;Freshwater;Groundwater;Freshwater;
FCH3CGLCCXYL2DAA_NODE_197	3300006920_____Ga0070748_1000446 (taxid 1000951844)	Environmental;Aquatic;Marine;Coastal;Marine;
FCH3CGLCCXYL2DAA_NODE_200	level0_1 (taxid 1000675921)	
FCH3CGLCCXYL2DAA_NODE_208	3300006033_____Ga0075012_10002156 (taxid 1000892986)	Environmental;Aquatic;Freshwater;Groundwater;Freshwater;
FCH3CGLCCXYL2DAA_NODE_211	3300000558_____Draft_10095880 (taxid 1000162639)	Engineered;Wastewater;Industrial wastewater;Petrochemical;Engineered;
FCH3CGLCCXYL2DAA_NODE_249	3300013100_____Ga0157373_10007804 (taxid 1001054623)	Host-associated;Plants;Rhizosphere;Unclassified;Host-associated(plants);
FCH3CGLCCXYL2DAA_NODE_259	3300006353_____Ga0075370_10000057 (taxid 1000051285)	Host-associated;Plants;Roots;Bulk soil;Host-associated(plants);
FCH3CGLCCXYL2DAA_NODE_277	3300006033_____Ga0075012_10002156 (taxid 1000892986)	Environmental;Aquatic;Freshwater;Groundwater;Freshwater;
FCH3CGLCCXYL2DAA_NODE_299	level0_1 (taxid 1000675921)	
FCH3CGLCCXYL2DAA_NODE_338	level0_1 (taxid 1000675921)	
FCH3CGLCCXYL2DAA_NODE_474	level0_1 (taxid 1000675921)	
FCH3CGLCCXYL2DAA_NODE_710	3300012802_____Ga0160499_101415 (taxid 1000899287)	Host-associated;Birds;Digestive system;Fecal;Host-associated(other);
FCH3CGLCCXYL2DAA_NODE_898	3300014613_____Ga0180008_1002169 (taxid 1000818483)	Environmental;Aquatic;Freshwater;Groundwater;Freshwater;
FCH3CGLCCXYL2DAA_NODE_928	level1_37231 (taxid 1001053131)	
FCH3CGLCCXYL2DAA_NODE_1035	3300012921_____Ga0164290_1004656 (taxid 1000540551)	Environmental;Terrestrial;Soil;Unclassified;Terrestrial(soil);
FCH3CGLCCXYL2DAA_NODE_1191	3300013100_____Ga0157373_10005188 (taxid 1001020320)	Host-associated;Plants;Rhizosphere;Unclassified;Host-associated(plants);
FCH3CGLCCXYL2DAA_NODE_1240	level1_86199 (taxid 1000069149)	
FCH3CGLCCXYL2DAA_NODE_1292	level0_1 (taxid 1000675921)	
FCH3CGLCCXYL2DAA_NODE_1439	3300001351_____JGI20153J14318_10008662 (taxid 1000313718)	Environmental;Aquatic;Marine;Neritic zone;Marine;
FCH3CGLCCXYL2DAA_NODE_1601	level0_1 (taxid 1000675921)	
FCH3CGLCCXYL2DAA_NODE_1629	level0_1 (taxid 1000675921)	
FCH3CGLCCXYL2DAA_NODE_1694	level0_1 (taxid 1000675921)	
FCH3CGLCCXYL2DAA_NODE_1740	level0_1 (taxid 1000675921)	
FCH3CGLCCXYL2DAA_NODE_1751	level0_1 (taxid 1000675921)	
FCH3CGLCCXYL2DAA_NODE_1803	level0_1 (taxid 1000675921)	
FCH3CGLCCXYL2DAA_NODE_1889	3300005841_____Ga0068863_100010019 (taxid 1000880518)	Host-associated;Plants;Roots;Rhizosphere;Host-associated(plants);
FCH3CGLCCXYL2DAA_NODE_2029	level0_1 (taxid 1000675921)	
FCH3CGLCCXYL2DAA_NODE_2062	unclassified (taxid 0)	
FCH3CGLCCXYL2DAA_NODE_2173	level0_1 (taxid 1000675921)	
FCH3CGLCCXYL2DAA_NODE_2397	level0_1 (taxid 1000675921)	
FCH3CGLCCXYL2DAA_NODE_2425	3300005862_____Ga0080013_1000789 (taxid 1000361984)	
FCH3CGLCCXYL2DAA_NODE_2437	level0_1 (taxid 1000675921)	
FCH3CGLCCXYL2DAA_NODE_2501	level0_1 (taxid 1000675921)	
FCH3CGLCCXYL2DAA_NODE_2526	level0_1 (taxid 1000675921)	
FCH3CGLCCXYL2DAA_NODE_2617	level0_1 (taxid 1000675921)	
FCH3CGLCCXYL2DAA_NODE_2623	3300000117_____DelMOWin2010_c10000127 (taxid 1000466865)	Environmental;Aquatic;Marine;Neritic zone;Marine;
FCH3CGLCCXYL2DAA_NODE_2649	unclassified (taxid 0)	
FCH3CGLCCXYL2DAA_NODE_2650	3300010399_____Ga0134127_10001974 (taxid 1000010837)	Environmental;Terrestrial;Soil;Unclassified;Terrestrial(soil);
FCH3CGLCCXYL2DAA_NODE_2681	level0_1 (taxid 1000675921)	
FCH3CGLCCXYL2DAA_NODE_2736	level2_17380 (taxid 1000210923)	
FCH3CGLCCXYL2DAA_NODE_2742	3300007722_____Ga0105051_10014655 (taxid 1000437457)	Environmental;Aquatic;Freshwater;Ice;Freshwater;
FCH3CGLCCXYL2DAA_NODE_2773	level0_1 (taxid 1000675921)	
FCH3CGLCCXYL2DAA_NODE_2805	3300018414_____Ga0194135_10000051 (taxid 1001042657)	Environmental;Aquatic;Freshwater;Sediment;Freshwater;
FCH3CGLCCXYL2DAA_NODE_2906	3300005805_____Ga0079957_1006994 (taxid 1000783053)	Environmental;Aquatic;Freshwater;Lake;Freshwater;
FCH3CGLCCXYL2DAA_NODE_2936	level1_94535 (taxid 1000542260)	
FCH3CGLCCXYL2DAA_NODE_2949	3300014205_____Ga0172380_10001833 (taxid 1000023366)	Engineered;Solid waste;Landfill;Unclassified;Engineered;
FCH3CGLCCXYL2DAA_NODE_2981	3300009433_____Ga0115545_1000407 (taxid 1000900100)	Environmental;Aquatic;Marine;Pelagic;Marine;
FCH3CGLCCXYL2DAA_NODE_3078	3300005613_____Ga0074649_1001228 (taxid 1000354249)	Environmental;Aquatic;Non-marine Saline and Alkaline;Saline;Aquatic(sediment);
FCH3CGLCCXYL2DAA_NODE_3164	level3_15186 (taxid 1000409817)	
FCH3CGLCCXYL2DAA_NODE_3183	3300006805_____Ga0075464_10000092 (taxid 1000163519)	Environmental;Aquatic;Marine;Coastal;Marine;
FCH3CGLCCXYL2DAA_NODE_3239	level0_1 (taxid 1000675921)	
FCH3CGLCCXYL2DAA_NODE_3265	3300006851_____Ga0079225_10005655 (taxid 1000653505)	Environmental;Terrestrial;Soil;Unclassified;Terrestrial(soil);
FCH3CGLCCXYL2DAA_NODE_3277	level0_1 (taxid 1000675921)	
FCH3CGLCCXYL2DAA_NODE_3304	3300011829_____Ga0120796_100562 (taxid 1000183372)	Engineered;Built environment;City;Subway;Engineered;
FCH3CGLCCXYL2DAA_NODE_3460	level0_1 (taxid 1000675921)	
FCH3CGLCCXYL2DAA_NODE_3492	3300006033_____Ga0075012_10012588 (taxid 1000211879)	Environmental;Aquatic;Freshwater;Groundwater;Freshwater;
FCH3CGLCCXYL2DAA_NODE_3506	3300006919_____Ga0070746_10002670 (taxid 1000163804)	Environmental;Aquatic;Marine;Coastal;Marine;
FCH3CGLCCXYL2DAA_NODE_3510	level4_780 (taxid 1000603311)	
FCH3CGLCCXYL2DAA_NODE_3538	level0_1 (taxid 1000675921)	
FCH3CGLCCXYL2DAA_NODE_3559	3300014691_____Ga0121517_100208 (taxid 1000576519)	Engineered;Built environment;City;Subway;Engineered;
FCH3CGLCCXYL2DAA_NODE_3594	level0_1 (taxid 1000675921)	
