vOTU_id,contig_id,protein_id,database,hit_id,hit_description,hit_category,evalue,bitscore,percent_identity,query_coverage,target_coverage,query_len,target_len,is_best_hit,focal_role
vOTU0018,TARATASF_NODE_16,TARATASF_NODE_16_1,PHROG (MMseqs2 profile),phrog_57,terminase small subunit,head and packaging,6.059e-307,914,100.0,1.0,0.969,181,159,True,
vOTU0018,TARATASF_NODE_16,TARATASF_NODE_16_10,PHROG (MMseqs2 profile),phrog_27,tail completion or Neck1 protein,connector,1.255e-321,957,100.0,0.964,1.0,192,162,True,
vOTU0018,TARATASF_NODE_16,TARATASF_NODE_16_10,PHROG (MMseqs2 profile),phrog_9077,(no PHROG annotation),unknown function,1.951e-13,68,37.7,0.536,0.703,192,74,False,
vOTU0018,TARATASF_NODE_16,TARATASF_NODE_16_10,PHROG (MMseqs2 profile),phrog_8274,(no PHROG annotation),unknown function,0.0003792,40,26.3,0.531,0.689,192,132,False,
vOTU0018,TARATASF_NODE_16,TARATASF_NODE_16_11,PHROG (MMseqs2 profile),phrog_37,tail terminator,connector,1.248e-180,547,100.0,0.977,0.968,131,126,True,
vOTU0018,TARATASF_NODE_16,TARATASF_NODE_16_12,PHROG (MMseqs2 profile),phrog_215,structural protein with Ig domain,head and packaging,0.0,1211,100.0,0.972,0.996,246,281,True,
vOTU0018,TARATASF_NODE_16,TARATASF_NODE_16_12,PHROG (MMseqs2 profile),phrog_158,major tail protein,tail,1.5e-297,891,100.0,0.988,0.993,246,150,False,
vOTU0018,TARATASF_NODE_16,TARATASF_NODE_16_12,PHROG (MMseqs2 profile),phrog_840,major head protein,head and packaging,5.792e-232,702,100.0,0.935,0.76,246,354,False,
vOTU0018,TARATASF_NODE_16,TARATASF_NODE_16_12,PHROG (MMseqs2 profile),phrog_41,major tail protein,tail,2.189e-149,464,93.1,0.963,0.992,246,131,False,
vOTU0018,TARATASF_NODE_16,TARATASF_NODE_16_13,PHROG (MMseqs2 profile),phrog_42,minor tail protein,tail,1.424e-200,605,100.0,0.964,0.984,140,128,True,
vOTU0018,TARATASF_NODE_16,TARATASF_NODE_16_14,PHROG (MMseqs2 profile),phrog_39,tail assembly protein,tail,2.36e-89,285,94.9,0.986,0.986,144,69,True,
vOTU0018,TARATASF_NODE_16,TARATASF_NODE_16_15,PHROG (MMseqs2 profile),phrog_24,tail length tape measure protein,tail,0.0,3863,100.0,0.988,1.0,853,800,True,
vOTU0018,TARATASF_NODE_16,TARATASF_NODE_16_15,PHROG (MMseqs2 profile),phrog_1716,tail length tape measure protein,tail,0.0,1378,84.7,0.923,0.984,853,254,False,
vOTU0018,TARATASF_NODE_16,TARATASF_NODE_16_15,PHROG (MMseqs2 profile),phrog_4498,tail length tape measure protein,tail,4.865e-82,293,41.9,0.467,0.88,853,368,False,
vOTU0018,TARATASF_NODE_16,TARATASF_NODE_16_15,PHROG (MMseqs2 profile),phrog_6747,tail length tape measure protein,tail,7.898e-58,218,29.7,0.573,0.773,853,362,False,
vOTU0018,TARATASF_NODE_16,TARATASF_NODE_16_15,PHROG (MMseqs2 profile),phrog_3827,tail length tape measure protein,tail,2.672e-55,210,44.4,0.307,0.963,853,135,False,
vOTU0018,TARATASF_NODE_16,TARATASF_NODE_16_15,PHROG (MMseqs2 profile),phrog_5918,(no PHROG annotation),unknown function,2.821e-33,139,34.7,0.258,0.699,853,349,False,
vOTU0018,TARATASF_NODE_16,TARATASF_NODE_16_16,PHROG (MMseqs2 profile),phrog_14,minor tail protein,tail,2.055e-155,473,100.0,1.0,0.971,109,103,True,
vOTU0018,TARATASF_NODE_16,TARATASF_NODE_16_17,PHROG (MMseqs2 profile),phrog_2959,minor tail protein,tail,1.377e-78,259,66.3,0.841,0.769,232,143,True,
vOTU0018,TARATASF_NODE_16,TARATASF_NODE_16_17,PHROG (MMseqs2 profile),phrog_4199,minor tail protein,tail,1.214e-42,155,54.6,0.634,0.88,232,92,False,
vOTU0018,TARATASF_NODE_16,TARATASF_NODE_16_17,PHROG (MMseqs2 profile),phrog_2732,(no PHROG annotation),unknown function,4.711e-18,83,66.9,0.259,0.884,232,43,False,
vOTU0018,TARATASF_NODE_16,TARATASF_NODE_16_18,PHROG (MMseqs2 profile),phrog_30,minor tail protein,tail,3.476e-221,671,100.0,0.903,1.0,247,144,True,mec negative control
vOTU0018,TARATASF_NODE_16,TARATASF_NODE_16_18,PHROG (MMseqs2 profile),phrog_2635,tail protein,tail,1.174e-87,286,73.3,0.777,0.939,247,82,False,mec negative control
vOTU0018,TARATASF_NODE_16,TARATASF_NODE_16_18,PHROG (MMseqs2 profile),phrog_2552,(no PHROG annotation),unknown function,1.676e-74,248,57.8,0.895,0.711,247,142,False,mec negative control
vOTU0018,TARATASF_NODE_16,TARATASF_NODE_16_18,PHROG (MMseqs2 profile),phrog_5556,tail protein,tail,1.939e-31,123,36.5,0.806,0.707,247,140,False,mec negative control
vOTU0018,TARATASF_NODE_16,TARATASF_NODE_16_19,PHROG (MMseqs2 profile),phrog_32,tail assembly protein,tail,2.085e-197,599,100.0,0.942,1.0,190,136,True,
vOTU0018,TARATASF_NODE_16,TARATASF_NODE_16_19,PHROG (MMseqs2 profile),phrog_4946,tail protein,tail,5.055e-129,402,100.0,0.926,0.927,190,151,False,
vOTU0018,TARATASF_NODE_16,TARATASF_NODE_16_19,PHROG (MMseqs2 profile),phrog_4554,tail protein,tail,1.407e-75,248,71.0,0.905,0.864,190,81,False,
vOTU0018,TARATASF_NODE_16,TARATASF_NODE_16_19,PHROG (MMseqs2 profile),phrog_4244,tail protein,tail,6.383e-20,87,73.2,0.3,0.465,190,86,False,
vOTU0018,TARATASF_NODE_16,TARATASF_NODE_16_2,PHROG (MMseqs2 profile),phrog_15,terminase large subunit,head and packaging,0.0,2904,100.0,0.98,1.0,641,589,True,
vOTU0018,TARATASF_NODE_16,TARATASF_NODE_16_2,PHROG (MMseqs2 profile),phrog_16406,(no PHROG annotation),unknown function,4.559e-09,59,30.8,0.183,0.944,641,125,False,
vOTU0018,TARATASF_NODE_16,TARATASF_NODE_16_2,PHROG (MMseqs2 profile),phrog_3028,(no PHROG annotation),unknown function,0.0001699,44,19.3,0.326,0.878,641,229,False,
vOTU0018,TARATASF_NODE_16,TARATASF_NODE_16_20,PHROG (MMseqs2 profile),phrog_2589,tail protein,tail,0.0,4108,68.5,0.993,0.973,1132,3097,True,
vOTU0018,TARATASF_NODE_16,TARATASF_NODE_16_20,PHROG (MMseqs2 profile),phrog_2148,tail fiber protein,tail,0.0,1144,59.9,0.872,0.998,1132,491,False,
vOTU0018,TARATASF_NODE_16,TARATASF_NODE_16_20,PHROG (MMseqs2 profile),phrog_5269,(no PHROG annotation),unknown function,2.561e-214,696,53.9,0.602,0.966,1132,235,False,
vOTU0018,TARATASF_NODE_16,TARATASF_NODE_16_20,PHROG (MMseqs2 profile),phrog_9564,(no PHROG annotation),unknown function,9.408e-132,451,69.0,0.288,0.977,1132,176,False,
vOTU0018,TARATASF_NODE_16,TARATASF_NODE_16_20,PHROG (MMseqs2 profile),phrog_4346,(no PHROG annotation),unknown function,1.528e-27,121,52.6,0.105,0.965,1132,85,False,
vOTU0018,TARATASF_NODE_16,TARATASF_NODE_16_20,PHROG (MMseqs2 profile),phrog_7997,tail protein and host specificity,tail,1.11e-12,72,25.0,0.182,0.773,1132,216,False,
vOTU0018,TARATASF_NODE_16,TARATASF_NODE_16_21,PHROG (MMseqs2 profile),phrog_108,Lom outer membrane protein,other,4.655e-180,550,100.0,0.888,0.954,206,109,True,
vOTU0018,TARATASF_NODE_16,TARATASF_NODE_16_22,PHROG (MMseqs2 profile),phrog_381,tail fiber protein,tail,0.0,2146,100.0,1.0,0.938,401,688,True,
vOTU0018,TARATASF_NODE_16,TARATASF_NODE_16_22,PHROG (MMseqs2 profile),phrog_988,tail protein,tail,0.0,1793,100.0,0.995,0.994,401,478,False,
vOTU0018,TARATASF_NODE_16,TARATASF_NODE_16_22,PHROG (MMseqs2 profile),phrog_295,tail fiber protein,tail,0.0,1566,100.0,0.99,0.787,401,747,False,
vOTU0018,TARATASF_NODE_16,TARATASF_NODE_16_22,PHROG (MMseqs2 profile),phrog_1419,tail protein,tail,0.0,1223,100.0,1.0,0.708,401,736,False,
vOTU0018,TARATASF_NODE_16,TARATASF_NODE_16_22,PHROG (MMseqs2 profile),phrog_2636,tail fiber protein,tail,8.223e-221,679,84.1,0.973,0.923,401,415,False,
vOTU0018,TARATASF_NODE_16,TARATASF_NODE_16_22,PHROG (MMseqs2 profile),phrog_4128,tail fiber protein,tail,6.428e-124,399,75.3,0.648,1.0,401,103,False,
vOTU0018,TARATASF_NODE_16,TARATASF_NODE_16_22,PHROG (MMseqs2 profile),phrog_6202,tail fiber protein,tail,2.963e-114,371,40.4,0.928,0.983,401,540,False,
vOTU0018,TARATASF_NODE_16,TARATASF_NODE_16_22,PHROG (MMseqs2 profile),phrog_3279,tail fiber protein,tail,1.024e-61,218,55.2,0.511,0.969,401,191,False,
vOTU0018,TARATASF_NODE_16,TARATASF_NODE_16_23,PHROG (MMseqs2 profile),phrog_1699,long tail fiber protein distal subunit,tail,0.0,1760,94.9,0.997,0.936,314,943,True,
vOTU0018,TARATASF_NODE_16,TARATASF_NODE_16_23,PHROG (MMseqs2 profile),phrog_327,tail protein,tail,0.0,1636,100.0,0.978,1.0,314,500,False,
vOTU0018,TARATASF_NODE_16,TARATASF_NODE_16_23,PHROG (MMseqs2 profile),phrog_3100,tail fiber protein,tail,0.0,1188,100.0,0.997,0.968,314,401,False,
vOTU0018,TARATASF_NODE_16,TARATASF_NODE_16_23,PHROG (MMseqs2 profile),phrog_1858,tail fiber protein,tail,0.0,1096,100.0,0.997,0.957,314,235,False,
vOTU0018,TARATASF_NODE_16,TARATASF_NODE_16_23,PHROG (MMseqs2 profile),phrog_523,tail collar fiber protein,tail,3.299e-273,825,100.0,0.927,0.869,314,168,False,
vOTU0018,TARATASF_NODE_16,TARATASF_NODE_16_23,PHROG (MMseqs2 profile),phrog_2631,tail fiber protein,tail,3.953e-254,770,90.4,0.994,0.919,314,443,False,
vOTU0018,TARATASF_NODE_16,TARATASF_NODE_16_23,PHROG (MMseqs2 profile),phrog_6683,tail fiber protein,tail,2.822e-30,122,29.1,0.825,0.842,314,330,False,
vOTU0018,TARATASF_NODE_16,TARATASF_NODE_16_23,PHROG (MMseqs2 profile),phrog_23632,(no PHROG annotation),unknown function,0.0002474,42,19.1,0.656,0.756,314,266,False,
vOTU0018,TARATASF_NODE_16,TARATASF_NODE_16_24,PHROG (MMseqs2 profile),phrog_1807,tail fiber protein,tail,2.099e-283,847,100.0,0.995,0.982,194,225,True,
vOTU0018,TARATASF_NODE_16,TARATASF_NODE_16_24,PHROG (MMseqs2 profile),phrog_136,tail fiber assembly protein,tail,1.208e-272,816,100.0,0.923,0.988,194,161,False,
vOTU0018,TARATASF_NODE_16,TARATASF_NODE_16_24,PHROG (MMseqs2 profile),phrog_105,tail fiber assembly,tail,1.606e-269,807,100.0,0.959,0.93,194,186,False,
vOTU0018,TARATASF_NODE_16,TARATASF_NODE_16_24,PHROG (MMseqs2 profile),phrog_188,tail fiber assembly protein,tail,1.162e-264,793,100.0,0.99,0.992,194,128,False,
vOTU0018,TARATASF_NODE_16,TARATASF_NODE_16_24,PHROG (MMseqs2 profile),phrog_5572,(no PHROG annotation),unknown function,8.265e-109,344,100.0,0.789,0.986,194,73,False,
vOTU0018,TARATASF_NODE_16,TARATASF_NODE_16_24,PHROG (MMseqs2 profile),phrog_3792,tail assembly chaperone,tail,3.935e-83,270,71.2,0.964,0.8,194,80,False,
vOTU0018,TARATASF_NODE_16,TARATASF_NODE_16_24,PHROG (MMseqs2 profile),phrog_7290,tail fiber assembly protein,tail,1.164e-24,101,79.8,0.309,0.885,194,52,False,
vOTU0018,TARATASF_NODE_16,TARATASF_NODE_16_27,PHROG (MMseqs2 profile),phrog_8066,(no PHROG annotation),unknown function,1.182e-11,67,16.9,0.901,0.933,525,490,True,
vOTU0018,TARATASF_NODE_16,TARATASF_NODE_16_28,PHROG (MMseqs2 profile),phrog_7244,integrase,integration and excision,7.141e-37,143,44.8,0.492,0.441,356,247,True,
vOTU0018,TARATASF_NODE_16,TARATASF_NODE_16_3,PHROG (MMseqs2 profile),phrog_75,head-tail adaptor Ad1,connector,7.988e-87,273,100.0,0.779,0.975,68,80,True,
vOTU0018,TARATASF_NODE_16,TARATASF_NODE_16_31,PHROG (MMseqs2 profile),phrog_250,(no PHROG annotation),unknown function,1.618e-271,812,100.0,1.0,0.98,182,254,True,
vOTU0018,TARATASF_NODE_16,TARATASF_NODE_16_32,PHROG (MMseqs2 profile),phrog_292,(no PHROG annotation),unknown function,1.246e-63,206,100.0,0.81,0.93,63,57,True,
vOTU0018,TARATASF_NODE_16,TARATASF_NODE_16_33,PHROG (MMseqs2 profile),phrog_1998,(no PHROG annotation),unknown function,9.599e-34,120,95.0,0.983,0.936,60,47,True,
vOTU0018,TARATASF_NODE_16,TARATASF_NODE_16_35,PHROG (MMseqs2 profile),phrog_252,Bet-like ssDNA annealing protein,"DNA, RNA and nucleotide metabolism",2.186e-267,805,100.0,0.973,0.982,261,225,True,
vOTU0018,TARATASF_NODE_16,TARATASF_NODE_16_35,PHROG (MMseqs2 profile),phrog_10056,RecT-like ssDNA annealing protein,"DNA, RNA and nucleotide metabolism",2.492e-07,51,20.1,0.866,0.921,261,239,False,
vOTU0018,TARATASF_NODE_16,TARATASF_NODE_16_36,PHROG (MMseqs2 profile),phrog_259,gam-like host nuclease inhibitor,"moron, auxiliary metabolic gene and host takeover",6.862e-32,117,66.0,0.857,0.967,98,90,True,
vOTU0018,TARATASF_NODE_16,TARATASF_NODE_16_38,PHROG (MMseqs2 profile),phrog_550,CIII anti-termination,transcription regulation,1.466e-19,79,100.0,0.667,0.846,54,39,True,
vOTU0018,TARATASF_NODE_16,TARATASF_NODE_16_4,PHROG (MMseqs2 profile),phrog_21,portal protein,head and packaging,0.0,2593,100.0,0.998,0.988,533,490,True,
vOTU0018,TARATASF_NODE_16,TARATASF_NODE_16_4,PHROG (MMseqs2 profile),phrog_537,portal protein,head and packaging,3.558e-243,751,82.8,0.824,1.0,533,141,False,
vOTU0018,TARATASF_NODE_16,TARATASF_NODE_16_47,PHROG (MMseqs2 profile),phrog_725,CII-like regulator,transcription regulation,5.049e-123,379,100.0,1.0,0.959,97,97,True,
