tool,version_string,purpose,source
MAFFT,v7.526 (2024/Apr/26),multiple sequence alignment,conda-forge/bioconda
HMMER,# HMMER 3.4 (Aug 2023); http://hmmer.org/,"profile HMM search (hmmsearch, hmmscan, hmmalign)",bioconda
IQ-TREE,IQ-TREE version 3.1.3 for MacOS ARM 64-bit built Jul 26 2026,maximum-likelihood phylogeny,bioconda
trimAl,trimAl v1.5.rev1 build[2025-11-25],alignment column trimming,bioconda
TM-align,* TM-align (Version 20240303): protein and RNA structure alignment   *,structural superposition,bioconda
R,R version 4.5.3 (2026-03-11),read tse_primary_962.rds (separate conda env; not on the amgval PATH),conda-forge (env rbase)
Biopython,1.88,sequence and alignment I/O,conda-forge
pandas,3.0.5,table handling,conda-forge
numpy,2.5.2,numerics,conda-forge
matplotlib,3.11.1,figure rendering,conda-forge
DendroPy,5.0.13,"tree traversal, patristic distances",conda-forge
Pillow,12.3.0,"TIFF export (LZW, 600 dpi, RGB)",conda-forge
